C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177258015,    2.4599108696,    0.9989329322,    0.9999025309,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3764721341, 
X Velocity[A/fs],  -0.200000,   0.191787,  -0.751202,   0.725305,  
Y Velocity[A/fs],  -0.000003,  -0.002818,   0.040328,  -0.008922, 
Z Velocity[A/fs],   0.007750,   0.002904,  -0.052787,  -0.031255,  
Speed[A/fs],   0.200150,   0.191830,   0.754134,   0.726033,  
 
C2H2_14r161,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1946732998,    2.0543185472,    0.9993740457,    0.9998890607,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2482549534, 
X Velocity[A/fs],  -0.173307,   0.164741,  -0.729496,   0.704639,  
Y Velocity[A/fs],   0.010651,  -0.007181,  -0.093165,   0.079299, 
Z Velocity[A/fs],  -0.002831,   0.000350,  -0.054639,   0.061441,  
Speed[A/fs],   0.173657,   0.164898,   0.737448,   0.711744,  
 
C2H2_14r17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1782577038,    2.1106449366,    0.9993175764,    0.9999502398,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2881704564, 
X Velocity[A/fs],  -0.180845,   0.165378,  -0.741099,   0.706466,  
Y Velocity[A/fs],   0.002970,  -0.000233,   0.025702,  -0.016484, 
Z Velocity[A/fs],   0.004785,  -0.001513,  -0.072092,   0.067265,  
Speed[A/fs],   0.180933,   0.165385,   0.745041,   0.709853,  
 
C2H2_14r2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0813866854,    2.2139211893,    0.9994640481,    0.9999633283,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2947352511, 
X Velocity[A/fs],  -0.182376,   0.177265,  -0.731997,   0.707140,  
Y Velocity[A/fs],   0.001018,  -0.003982,  -0.078484,   0.064560, 
Z Velocity[A/fs],   0.008122,  -0.006993,  -0.082032,   0.095773,  
Speed[A/fs],   0.182559,   0.177448,   0.740749,   0.716510,  
 
C2H2_14r43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0771647692,    2.2229580879,    0.9992335920,    0.9999602941,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2993167431, 
X Velocity[A/fs],  -0.186630,   0.175230,  -0.742022,   0.705950,  
Y Velocity[A/fs],   0.004138,  -0.008107,   0.023625,   0.046381, 
Z Velocity[A/fs],   0.002090,  -0.000845,  -0.056781,   0.042622,  
Speed[A/fs],   0.186688,   0.175419,   0.744566,   0.708755,  
 
C2H2_14r84,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1098321676,    2.2295202017,    0.9992683897,    0.9999554261,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3385761851, 
X Velocity[A/fs],  -0.184198,   0.178450,  -0.736009,   0.714410,  
Y Velocity[A/fs],   0.001914,  -0.001970,  -0.085346,   0.053389, 
Z Velocity[A/fs],   0.013009,  -0.002504,  -0.074257,  -0.023147,  
Speed[A/fs],   0.184667,   0.178479,   0.744652,   0.716776,  
 
C2H2_14r3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2823024988,    2.0735789537,    0.9988920545,    0.9999010573,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3546745644, 
X Velocity[A/fs],  -0.167307,   0.173857,  -0.741614,   0.722783,  
Y Velocity[A/fs],   0.003821,  -0.001389,  -0.045051,   0.010813, 
Z Velocity[A/fs],   0.000484,  -0.008557,   0.029484,   0.072200,  
Speed[A/fs],   0.167351,   0.174073,   0.743566,   0.726460,  
 
C2H2_14r46,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3248972893,    1.8974783421,    0.9997120039,    0.9999496739,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2220373091, 
X Velocity[A/fs],  -0.156824,   0.158983,  -0.733945,   0.712178,  
Y Velocity[A/fs],   0.001420,  -0.007783,  -0.026910,   0.078527, 
Z Velocity[A/fs],   0.002398,  -0.001736,  -0.044394,   0.080992,  
Speed[A/fs],   0.156848,   0.159182,   0.735779,   0.721057,  
 
C2H2_14r164,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2632799149,    2.0742105246,    0.9992649026,    0.9999419774,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3366973195, 
X Velocity[A/fs],  -0.178852,   0.165059,  -0.744336,   0.702444,  
Y Velocity[A/fs],   0.000972,   0.001076,  -0.060957,   0.037253, 
Z Velocity[A/fs],   0.009586,  -0.010428,  -0.084193,   0.085189,  
Speed[A/fs],   0.179111,   0.165392,   0.751559,   0.708571,  
 
C2H2_14r49,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2307589054,    2.0468357801,    0.9992745401,    0.9999106066,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2767798323, 
X Velocity[A/fs],  -0.169470,   0.166873,  -0.734943,   0.713078,  
Y Velocity[A/fs],   0.001112,  -0.002927,  -0.004592,   0.050852, 
Z Velocity[A/fs],  -0.005700,   0.007792,   0.085231,  -0.090547,  
Speed[A/fs],   0.169570,   0.167081,   0.739883,   0.720600,  
 
C2H2_14r52,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3932404518,    1.8941040039,    0.9994412008,    0.9999569073,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2867425638, 
X Velocity[A/fs],  -0.159302,   0.158590,  -0.728107,   0.706572,  
Y Velocity[A/fs],   0.006061,  -0.008259,  -0.089988,   0.082050, 
Z Velocity[A/fs],   0.008198,  -0.002626,  -0.065688,   0.074195,  
Speed[A/fs],   0.159628,   0.158827,   0.736582,   0.715179,  
 
C2H2_14r55,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7974877357,    2.5380452871,    0.9989093784,    0.9998917227,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3343341240, 
X Velocity[A/fs],  -0.205505,   0.199789,  -0.741720,   0.706906,  
Y Velocity[A/fs],  -0.005049,   0.011763,   0.078453,  -0.103663, 
Z Velocity[A/fs],   0.003024,   0.005608,  -0.041024,  -0.048218,  
Speed[A/fs],   0.205589,   0.200214,   0.746985,   0.716092,  
 
C2H2_14r123,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8345990181,    2.3311573267,    0.9992923660,    0.9999044451,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.1649531559, 
X Velocity[A/fs],  -0.190041,   0.183219,  -0.732347,   0.714305,  
Y Velocity[A/fs],   0.005246,   0.001068,  -0.063334,  -0.015350, 
Z Velocity[A/fs],  -0.002723,   0.003256,   0.046497,  -0.039958,  
Speed[A/fs],   0.190133,   0.183251,   0.736549,   0.715586,  
 
C2H2_14r110,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7226319313,    2.5811802149,    0.9991938975,    0.9999499595,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3029560033, 
X Velocity[A/fs],  -0.205543,   0.203053,  -0.739510,   0.720985,  
Y Velocity[A/fs],   0.003505,  -0.000245,  -0.074571,   0.068407, 
Z Velocity[A/fs],   0.008051,   0.002623,  -0.035445,  -0.032205,  
Speed[A/fs],   0.205731,   0.203070,   0.744105,   0.724939,  
 
C2H2_14r21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0803755522,    2.2582694292,    0.9993861375,    0.9999293205,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3379604394, 
X Velocity[A/fs],  -0.188676,   0.176180,  -0.739359,   0.714730,  
Y Velocity[A/fs],  -0.004097,  -0.004030,   0.056052,   0.048064, 
Z Velocity[A/fs],  -0.012533,   0.016342,   0.096044,  -0.064874,  
Speed[A/fs],   0.189137,   0.176982,   0.747675,   0.719276,  
 
C2H2_14r111,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1162780523,    2.1929417849,    0.9991367803,    0.9999460952,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3083027126, 
X Velocity[A/fs],  -0.182994,   0.176744,  -0.734852,   0.704650,  
Y Velocity[A/fs],  -0.006019,  -0.001456,   0.054898,   0.041163, 
Z Velocity[A/fs],  -0.004718,   0.008491,   0.085248,  -0.090520,  
Speed[A/fs],   0.183153,   0.176954,   0.741814,   0.711632,  
 
C2H2_14r64,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8383522034,    2.5559499264,    0.9992344549,    0.9999368771,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3934734618, 
X Velocity[A/fs],  -0.206340,   0.200778,  -0.739922,   0.718728,  
Y Velocity[A/fs],   0.011276,  -0.006881,  -0.092863,   0.070248, 
Z Velocity[A/fs],  -0.011211,   0.010794,   0.096186,  -0.087549,  
Speed[A/fs],   0.206952,   0.201186,   0.751904,   0.727440,  
 
C2H2_14r119,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0668531656,    2.2808454037,    0.9993836891,    0.9999424792,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3470247377, 
X Velocity[A/fs],  -0.194155,   0.174730,  -0.746210,   0.710692,  
Y Velocity[A/fs],   0.005990,  -0.006141,   0.001327,   0.052792, 
Z Velocity[A/fs],  -0.006414,   0.007976,   0.098586,  -0.051175,  
Speed[A/fs],   0.194353,   0.175019,   0.752695,   0.714485,  
 
C2H2_14r35,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1185960770,    2.1026802063,    0.9995066886,    0.9998987475,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.2206817194, 
X Velocity[A/fs],  -0.176051,   0.167572,  -0.731071,   0.710321,  
Y Velocity[A/fs],   0.006669,   0.003584,  -0.042107,  -0.034316, 
Z Velocity[A/fs],  -0.002495,   0.005113,   0.082292,  -0.054393,  
Speed[A/fs],   0.176195,   0.167689,   0.736892,   0.713227,  
 
C2H2_14r56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3560347557,    1.9464988708,    0.9990658187,    0.9999598480,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3015592933, 
X Velocity[A/fs],  -0.165863,   0.157963,  -0.741464,   0.711653,  
Y Velocity[A/fs],   0.009030,  -0.000518,   0.015772,  -0.043860, 
Z Velocity[A/fs],  -0.007683,   0.002777,   0.056975,   0.005510,  
Speed[A/fs],   0.166286,   0.157989,   0.743817,   0.713025,  
 
C2H2_14r77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.4049944878,    1.9765021801,    0.9991732711,    0.9999547849,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3806247238, 
X Velocity[A/fs],  -0.164795,   0.165986,  -0.739356,   0.715181,  
Y Velocity[A/fs],  -0.008337,   0.013222,   0.070729,  -0.100212, 
Z Velocity[A/fs],   0.004721,  -0.002634,  -0.076136,   0.076010,  
Speed[A/fs],   0.165073,   0.166532,   0.746623,   0.726157,  
 
C2H2_14r116,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8564341068,    2.3184477091,    0.9995561687,    0.9998905947,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.1743285793, 
X Velocity[A/fs],  -0.184946,   0.186947,  -0.725441,   0.710756,  
Y Velocity[A/fs],   0.005534,  -0.001691,  -0.056451,   0.000107, 
Z Velocity[A/fs],   0.005802,  -0.010912,  -0.067154,   0.089109,  
Speed[A/fs],   0.185120,   0.187273,   0.730727,   0.716320,  
 
C2H2_14r125,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0379718542,    2.2654734850,    0.9990838784,    0.9999400603,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3024692778, 
X Velocity[A/fs],  -0.192146,   0.175763,  -0.745772,   0.704105,  
Y Velocity[A/fs],   0.001213,  -0.009014,  -0.017234,   0.060616, 
Z Velocity[A/fs],   0.001607,  -0.004407,   0.043437,   0.037288,  
Speed[A/fs],   0.192157,   0.176049,   0.747235,   0.707693,  
 
C2H2_14r103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0742454529,    2.2825161219,    0.9991957883,    0.9998941572,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3558515203, 
X Velocity[A/fs],  -0.186046,   0.183328,  -0.738110,   0.719081,  
Y Velocity[A/fs],   0.006049,  -0.005708,  -0.083489,   0.092330, 
Z Velocity[A/fs],   0.003766,  -0.003217,  -0.081930,   0.076634,  
Speed[A/fs],   0.186182,   0.183445,   0.747322,   0.729023,  
 
C2H2_14r6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.5683317184,    1.8170082569,    0.9992293415,    0.9999425325,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3845118493, 
X Velocity[A/fs],  -0.162057,   0.149542,  -0.750861,   0.714852,  
Y Velocity[A/fs],   0.000804,   0.000409,   0.045380,  -0.036964, 
Z Velocity[A/fs],   0.000188,   0.003653,   0.043161,  -0.050533,  
Speed[A/fs],   0.162059,   0.149587,   0.753468,   0.717589,  
 
C2H2_14r44,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1287735701,    2.2325600386,    0.9994027663,    0.9999223740,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3606587489, 
X Velocity[A/fs],  -0.184591,   0.179596,  -0.745854,   0.708898,  
Y Velocity[A/fs],  -0.000476,   0.006733,  -0.028167,  -0.055782, 
Z Velocity[A/fs],  -0.005081,   0.009049,   0.100668,  -0.109164,  
Speed[A/fs],   0.184662,   0.179950,   0.753144,   0.719420,  
 
C2H2_14r174,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7808740139,    2.5752421618,    0.9989330731,    0.9999054055,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3549546543, 
X Velocity[A/fs],  -0.205785,   0.203389,  -0.752479,   0.716277,  
Y Velocity[A/fs],  -0.000789,   0.008248,  -0.018253,  -0.061491, 
Z Velocity[A/fs],   0.000289,   0.005451,   0.010537,  -0.054877,  
Speed[A/fs],   0.205787,   0.203629,   0.752774,   0.721003,  
 
C2H2_14r82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0299135447,    2.2832915783,    0.9986261630,    0.9999535770,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3117848630, 
X Velocity[A/fs],  -0.191189,   0.177995,  -0.739204,   0.718584,  
Y Velocity[A/fs],   0.000242,  -0.004068,   0.028097,   0.021295, 
Z Velocity[A/fs],  -0.008927,   0.009692,   0.100659,  -0.070792,  
Speed[A/fs],   0.191398,   0.178305,   0.746555,   0.722376,  
 
C2H2_14r114,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3726170063,    1.9535591602,    0.9992394372,    0.9999434721,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3253590758, 
X Velocity[A/fs],  -0.164811,   0.162056,  -0.732550,   0.706909,  
Y Velocity[A/fs],  -0.004442,   0.005494,   0.090569,  -0.063925, 
Z Velocity[A/fs],  -0.009446,   0.007584,   0.070725,  -0.086738,  
Speed[A/fs],   0.165141,   0.162326,   0.741508,   0.715073,  
 
C2H2_14r58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1173607111,    2.2033044100,    0.9985322246,    0.9999374398,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3191347854, 
X Velocity[A/fs],  -0.180798,   0.179859,  -0.744372,   0.710232,  
Y Velocity[A/fs],   0.009270,  -0.001098,  -0.050946,  -0.026113, 
Z Velocity[A/fs],   0.000443,   0.006149,  -0.020352,  -0.058489,  
Speed[A/fs],   0.181037,   0.179968,   0.746391,   0.713115,  
 
C2H2_14r138,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.8441507816,    1.5348222256,    0.9992582598,    0.9999293715,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3781606385, 
X Velocity[A/fs],  -0.143316,   0.136484,  -0.737774,   0.710783,  
Y Velocity[A/fs],  -0.000388,   0.000060,   0.031570,  -0.023024, 
Z Velocity[A/fs],  -0.008892,   0.016254,   0.107130,  -0.111548,  
Speed[A/fs],   0.143592,   0.137449,   0.746180,   0.719851,  
 
C2H2_14r39,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2258858681,    2.1108460426,    0.9989569399,    0.9999016989,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3355905495, 
X Velocity[A/fs],  -0.176060,   0.171638,  -0.740457,   0.711744,  
Y Velocity[A/fs],  -0.000258,   0.004328,  -0.034186,  -0.037931, 
Z Velocity[A/fs],   0.009598,  -0.008144,  -0.097815,   0.089227,  
Speed[A/fs],   0.176322,   0.171886,   0.747672,   0.718317,  
 
C2H2_14r5,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7870697975,    2.5397887230,    0.9992757309,    0.9999492769,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3260835283, 
X Velocity[A/fs],  -0.199688,   0.203421,  -0.739226,   0.721863,  
Y Velocity[A/fs],  -0.000876,  -0.000351,   0.049849,  -0.063591, 
Z Velocity[A/fs],  -0.000839,   0.001815,   0.054912,  -0.065803,  
Speed[A/fs],   0.199691,   0.203430,   0.742937,   0.727640,  
 
C2H2_14r170,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0769691467,    2.2448312044,    0.9993175422,    0.9999380495,  
Time[fs],  80.000000,  80.000000,  80.000000,  80.000000,  
Charge Sum,    6.3210559428, 
X Velocity[A/fs],  -0.182930,   0.180521,  -0.729574,   0.710701,  
Y Velocity[A/fs],  -0.013198,   0.010280,   0.094489,  -0.099442, 
