r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.053000,  38.106000,   7.857000,   7.701000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196175,   0.186408,  -0.833670,   0.840599,  
Y Velocity[A/fs],  -0.006236,   0.014029,  -0.010744,   0.029087, 
Z Velocity[A/fs],   0.005623,  -0.008132,   0.019046,  -0.018313,  
Speed[A/fs],   0.196355,   0.187112,   0.833956,   0.841301,  
 
r_seed=2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.492000,  37.617000,   7.813000,   7.763000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193725,   0.188142,  -0.831686,   0.845771,  
Y Velocity[A/fs],  -0.000488,   0.003314,  -0.005001,  -0.013565, 
Z Velocity[A/fs],  -0.000943,  -0.006754,  -0.013664,   0.053880,  
Speed[A/fs],   0.193727,   0.188292,   0.831813,   0.847594,  
 
r_seed=3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.742000,  37.477000,   7.865000,   7.665000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192773,   0.189361,  -0.829450,   0.842982,  
Y Velocity[A/fs],   0.023468,  -0.015776,  -0.003583,  -0.000411, 
Z Velocity[A/fs],  -0.006972,   0.011856,  -0.006154,   0.011304,  
Speed[A/fs],   0.194322,   0.190387,   0.829480,   0.843057,  
 
r_seed=4,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.298000,  37.705000,   7.832000,   7.660000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194732,   0.188016,  -0.830843,   0.842532,  
Y Velocity[A/fs],   0.005681,  -0.009611,   0.010396,  -0.011022, 
Z Velocity[A/fs],   0.007337,  -0.003674,  -0.057456,  -0.036865,  
Speed[A/fs],   0.194953,   0.188298,   0.832892,   0.843411,  
 
r_seed=5,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.888000,  37.286000,   7.894000,   7.739000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191929,   0.190004,  -0.830678,   0.847380,  
Y Velocity[A/fs],   0.002128,   0.008774,   0.021531,   0.011198, 
Z Velocity[A/fs],  -0.000781,  -0.007540,  -0.001049,   0.009580,  
Speed[A/fs],   0.191942,   0.190356,   0.830957,   0.847508,  
 
r_seed=6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.035000,  38.113000,   7.809000,   7.723000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196217,   0.186151,  -0.832746,   0.841704,  
Y Velocity[A/fs],   0.009128,  -0.002897,   0.032554,  -0.014553, 
Z Velocity[A/fs],   0.014626,  -0.008089,   0.021653,  -0.009053,  
Speed[A/fs],   0.196973,   0.186349,   0.833664,   0.841879,  
 
r_seed=7,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.787000,  37.249000,   7.862000,   7.671000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192055,   0.189967,  -0.830761,   0.844174,  
