r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.052000,  38.106000,   7.856000,   7.702000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196211,   0.186413,  -0.831736,   0.841618,  
Y Velocity[A/fs],  -0.006270,   0.014035,  -0.008854,   0.030065, 
Z Velocity[A/fs],   0.005589,  -0.008125,   0.020935,  -0.017336,  
Speed[A/fs],   0.196390,   0.187117,   0.832047,   0.842333,  
 
r_seed=2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.491000,  37.617000,   7.812000,   7.765000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.193765,   0.188155,  -0.830007,   0.847189,  
Y Velocity[A/fs],  -0.000526,   0.003329,  -0.003365,  -0.012210, 
Z Velocity[A/fs],  -0.000981,  -0.006740,  -0.012027,   0.055240,  
Speed[A/fs],   0.193769,   0.188305,   0.830101,   0.849076,  
 
r_seed=3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.741000,  37.478000,   7.864000,   7.666000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.192801,   0.189373,  -0.827471,   0.843783,  
Y Velocity[A/fs],   0.023443,  -0.015763,  -0.001648,   0.000349, 
Z Velocity[A/fs],  -0.006997,   0.011870,  -0.004219,   0.012064,  
Speed[A/fs],   0.194347,   0.190398,   0.827483,   0.843869,  
 
r_seed=4,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.297000,  37.705000,   7.831000,   7.661000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.194776,   0.188029,  -0.829052,   0.843302,  
Y Velocity[A/fs],   0.005638,  -0.009596,   0.012142,  -0.010292, 
Z Velocity[A/fs],   0.007295,  -0.003660,  -0.055707,  -0.036137,  
Speed[A/fs],   0.194994,   0.188309,   0.831011,   0.844139,  
 
r_seed=5,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.887000,  37.287000,   7.893000,   7.740000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.191947,   0.190010,  -0.828539,   0.848630,  
Y Velocity[A/fs],   0.002113,   0.008781,   0.023625,   0.012404, 
Z Velocity[A/fs],  -0.000796,  -0.007533,   0.001046,   0.010787,  
Speed[A/fs],   0.191960,   0.190362,   0.828876,   0.848790,  
 
r_seed=6,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs],  36.034000,  38.114000,   7.808000,   7.724000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.196252,   0.186156,  -0.831092,   0.842856,  
