C2H2_14r176, C[0], C[1], H[2], H[3], 
Densities, 2.082274268601753, 1.540089114498976, 0.001067067796122197, 9.746909114164561e-05, 
Time[fs], 62.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.623527919987993,,,,
X Velocity[A/fs],-0.158755,0.157951,-0.680713,0.675190,
Y Velocity[A/fs],-0.000314,-0.004066,0.036916,-0.008136,
Z Velocity[A/fs],-0.002556,-0.003800,-0.048066,-0.028455,
Speed[A/fs],0.158776,0.158049,0.683406,0.675838,
,,,,,
C2H2_14r161, C[0], C[1], H[2], H[3], 
Densities, 1.805326679757109, 1.945681444672263, 0.0006259543295877954, 0.0001109393407356447, 
Time[fs], 64.000000, 65.000000, 26.500000, 27.000000, 
Density Sum, 3.751745018099696,,,,
X Velocity[A/fs],-0.155566,0.150736,-0.658712,0.684868,
Y Velocity[A/fs],0.005474,-0.004432,-0.084698,0.072973,
Z Velocity[A/fs],-0.005712,-0.001055,-0.049850,0.056499,
Speed[A/fs],0.155767,0.150805,0.666004,0.691058,
,,,,,
C2H2_14r17, C[0], C[1], H[2], H[3], 
Densities, 1.821742270921424, 1.889355076582878, 0.0006824236190815763, 4.976024484995003e-05, 
Time[fs], 62.500000, 65.500000, 26.500000, 26.500000, 
Density Sum, 3.711829531368233,,,,
X Velocity[A/fs],-0.160454,0.150539,-0.670123,0.654683,
Y Velocity[A/fs],0.001939,0.008666,0.023597,-0.014641,
Z Velocity[A/fs],0.003835,-0.001489,-0.065508,0.061133,
Speed[A/fs],0.160512,0.150795,0.673730,0.657694,
,,,,,
C2H2_14r2, C[0], C[1], H[2], H[3], 
Densities, 1.918613295354811, 1.786078864162912, 0.0005359518880780632, 3.66717270342144e-05, 
Time[fs], 64.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.705264783132835,,,,
X Velocity[A/fs],-0.154780,0.154101,-0.662601,0.656672,
Y Velocity[A/fs],-0.003416,-0.004854,-0.071806,0.058252,
Z Velocity[A/fs],0.004327,-0.000477,-0.074624,0.086929,
Speed[A/fs],0.154878,0.154178,0.670645,0.664957,
,,,,,
C2H2_14r43, C[0], C[1], H[2], H[3], 
Densities, 1.92283519690984, 1.777041941300242, 0.0007664080386237201, 3.970589685171782e-05, 
Time[fs], 63.000000, 64.500000, 26.500000, 26.500000, 
Density Sum, 3.700683252145557,,,,
