C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177258015,    2.4599108696,    0.9989329322,    0.9999025309,  
Time[fs],  59.775000,  61.698000,  26.759000,  26.684000,  
Charge Sum,    6.3764721341, 
X Velocity[A/fs],  -0.175797,   0.167182,  -0.704825,   0.678692,  
Y Velocity[A/fs],  -0.000470,  -0.002594,   0.037651,  -0.008288, 
Z Velocity[A/fs],   0.007828,   0.003599,  -0.049097,  -0.029169,  
Speed[A/fs],   0.175972,   0.167241,   0.707535,   0.679369,  
 
C2H2_14r161,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1946732998,    2.0543185472,    0.9993740457,    0.9998890607,  
Time[fs],  60.911000,  62.815000,  26.854000,  27.012000,  
Charge Sum,    6.2482549534, 
X Velocity[A/fs],  -0.172494,   0.164520,  -0.685254,   0.659904,  
Y Velocity[A/fs],   0.011159,  -0.007553,  -0.086894,   0.073804, 
Z Velocity[A/fs],  -0.002716,   0.000168,  -0.051107,   0.057239,  
Speed[A/fs],   0.172876,   0.164694,   0.692629,   0.666481,  
 
C2H2_14r17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1782577038,    2.1106449366,    0.9993175764,    0.9999502398,  
Time[fs],  59.690000,  63.438000,  26.763000,  26.934000,  
Charge Sum,    6.2881704564, 
X Velocity[A/fs],  -0.177228,   0.162874,  -0.695324,   0.660979,  
Y Velocity[A/fs],   0.002897,  -0.000197,   0.024104,  -0.015178, 
Z Velocity[A/fs],   0.005087,  -0.001759,  -0.067084,   0.062683,  
Speed[A/fs],   0.177325,   0.162883,   0.698969,   0.664118,  
 
C2H2_14r2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0813866854,    2.2139211893,    0.9994640481,    0.9999633283,  
Time[fs],  60.829000,  61.864000,  26.760000,  26.835000,  
Charge Sum,    6.2947352511, 
X Velocity[A/fs],  -0.172642,   0.167489,  -0.686572,   0.661653,  
Y Velocity[A/fs],   0.001344,  -0.004302,  -0.073265,   0.059839, 
Z Velocity[A/fs],   0.008234,  -0.007295,  -0.076220,   0.089111,  
Speed[A/fs],   0.172843,   0.167703,   0.694664,   0.670303,  
 
C2H2_14r43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0771647692,    2.2229580879,    0.9992335920,    0.9999602941,  
Time[fs],  59.970000,  62.697000,  26.768000,  26.892000,  
Charge Sum,    6.2993167431, 
X Velocity[A/fs],  -0.176082,   0.165121,  -0.695515,   0.659876,  
Y Velocity[A/fs],   0.003630,  -0.008267,   0.022303,   0.043254, 
Z Velocity[A/fs],   0.002336,  -0.001013,  -0.052884,   0.039610,  
Speed[A/fs],   0.176135,   0.165331,   0.697879,   0.662477,  
 
C2H2_14r84,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1098321676,    2.2295202017,    0.9992683897,    0.9999554261,  
Time[fs],  60.377000,  61.605000,  26.889000,  26.767000,  
Charge Sum,    6.3385761851, 
X Velocity[A/fs],  -0.174668,   0.168979,  -0.692755,   0.667262,  
Y Velocity[A/fs],   0.002339,  -0.002205,  -0.079964,   0.049337, 
Z Velocity[A/fs],   0.013265,  -0.001891,  -0.069497,  -0.021763,  
Speed[A/fs],   0.175187,   0.169004,   0.700809,   0.669438,  
 
C2H2_14r3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2823024988,    2.0735789537,    0.9988920545,    0.9999010573,  
Time[fs],  61.969000,  59.914000,  26.944000,  26.748000,  
Charge Sum,    6.3546745644, 
X Velocity[A/fs],  -0.168533,   0.174812,  -0.700304,   0.675182,  
Y Velocity[A/fs],   0.004189,  -0.001407,  -0.042433,   0.009938, 
Z Velocity[A/fs],   0.000189,  -0.009185,   0.028001,   0.067181,  
Speed[A/fs],   0.168585,   0.175059,   0.702147,   0.678589,  
 
C2H2_14r46,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3248972893,    1.8974783421,    0.9997120039,    0.9999496739,  
Time[fs],  62.813000,  61.681000,  26.714000,  26.855000,  
Charge Sum,    6.2220373091, 
X Velocity[A/fs],  -0.165012,   0.167434,  -0.688580,   0.665300,  
Y Velocity[A/fs],   0.001555,  -0.008325,  -0.025065,   0.072892, 
Z Velocity[A/fs],   0.002386,  -0.001918,  -0.041225,   0.075417,  
Speed[A/fs],   0.165037,   0.167652,   0.690268,   0.673517,  
 
C2H2_14r164,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2632799149,    2.0742105246,    0.9992649026,    0.9999419774,  
Time[fs],  59.153000,  62.355000,  26.827000,  26.873000,  
Charge Sum,    6.3366973195, 
X Velocity[A/fs],  -0.178730,   0.166182,  -0.701168,   0.656430,  
Y Velocity[A/fs],   0.001239,   0.001055,  -0.057169,   0.034638, 
Z Velocity[A/fs],   0.010095,  -0.010980,  -0.078792,   0.079039,  
Speed[A/fs],   0.179019,   0.166547,   0.707894,   0.662078,  
 
C2H2_14r49,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2307589054,    2.0468357801,    0.9992745401,    0.9999106066,  
Time[fs],  61.551000,  61.823000,  26.810000,  26.895000,  
Charge Sum,    6.2767798323, 
X Velocity[A/fs],  -0.170098,   0.167772,  -0.690755,   0.667616,  
Y Velocity[A/fs],   0.001009,  -0.003218,  -0.004098,   0.047461, 
Z Velocity[A/fs],  -0.006088,   0.008199,   0.079626,  -0.084168,  
Speed[A/fs],   0.170210,   0.168003,   0.695342,   0.674572,  
 
C2H2_14r52,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3932404518,    1.8941040039,    0.9994412008,    0.9999569073,  
Time[fs],  61.700000,  61.408000,  26.827000,  26.830000,  
Charge Sum,    6.2867425638, 
X Velocity[A/fs],  -0.169136,   0.169024,  -0.685586,   0.659302,  
Y Velocity[A/fs],   0.006818,  -0.008837,  -0.084433,   0.075849, 
Z Velocity[A/fs],   0.008729,  -0.003030,  -0.061326,   0.069000,  
Speed[A/fs],   0.169498,   0.169282,   0.693482,   0.667228,  
 
C2H2_14r55,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7974877357,    2.5380452871,    0.9989093784,    0.9998917227,  
Time[fs],  60.605000,  62.010000,  26.894000,  26.977000,  
Charge Sum,    6.3343341240, 
X Velocity[A/fs],  -0.173459,   0.166820,  -0.695645,   0.664489,  
Y Velocity[A/fs],  -0.004648,   0.011946,   0.072830,  -0.096737, 
Z Velocity[A/fs],   0.003460,   0.006016,  -0.038309,  -0.045245,  
Speed[A/fs],   0.173556,   0.167356,   0.700496,   0.673017,  
 
C2H2_14r123,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8345990181,    2.3311573267,    0.9992923660,    0.9999044451,  
Time[fs],  62.003000,  63.669000,  26.778000,  26.955000,  
Charge Sum,    6.1649531559, 
X Velocity[A/fs],  -0.167697,   0.160174,  -0.683888,   0.668875,  
Y Velocity[A/fs],   0.005450,   0.001486,  -0.058789,  -0.014518, 
Z Velocity[A/fs],  -0.002834,   0.003395,   0.042981,  -0.037158,  
Speed[A/fs],   0.167809,   0.160217,   0.687754,   0.670064,  
 
C2H2_14r110,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.7226319313,    2.5811802149,    0.9991938975,    0.9999499595,  
Time[fs],  61.686000,  62.245000,  26.821000,  26.801000,  
Charge Sum,    6.3029560033, 
X Velocity[A/fs],  -0.169108,   0.165176,  -0.692073,   0.675928,  
Y Velocity[A/fs],   0.003915,  -0.000813,  -0.069075,   0.063852, 
Z Velocity[A/fs],   0.007741,   0.003584,  -0.032719,  -0.030040,  
Speed[A/fs],   0.169331,   0.165217,   0.696281,   0.679602,  
 
C2H2_14r21,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0803755522,    2.2582694292,    0.9993861375,    0.9999293205,  
Time[fs],  59.549000,  62.445000,  26.771000,  26.840000,  
Charge Sum,    6.3379604394, 
X Velocity[A/fs],  -0.177074,   0.165009,  -0.694191,   0.669715,  
Y Velocity[A/fs],  -0.004524,  -0.004545,   0.052505,   0.045044, 
Z Velocity[A/fs],  -0.012355,   0.016072,   0.089590,  -0.060089,  
Speed[A/fs],   0.177562,   0.165852,   0.701915,   0.673913,  
 
C2H2_14r111,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1162780523,    2.1929417849,    0.9991367803,    0.9999460952,  
Time[fs],  60.308000,  61.651000,  26.907000,  26.907000,  
Charge Sum,    6.3083027126, 
X Velocity[A/fs],  -0.174906,   0.168866,  -0.691141,   0.659227,  
Y Velocity[A/fs],  -0.006403,  -0.001947,   0.051498,   0.038550, 
Z Velocity[A/fs],  -0.004949,   0.008863,   0.079600,  -0.083971,  
Speed[A/fs],   0.175093,   0.169110,   0.697613,   0.665671,  
 
C2H2_14r64,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.8383522034,    2.5559499264,    0.9992344549,    0.9999368771,  
