C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177258015,    2.4599108696,    0.9989329322,    0.9999025309,  
Time[fs],  56.802000,  58.310000,  26.750000,  26.744000,  
Charge Sum,    6.3764721341, 
X Velocity[A/fs],  -0.194416,   0.186653,  -0.669828,   0.677996,  
Y Velocity[A/fs],  -0.000055,  -0.002873,   0.054461,   0.009528, 
Z Velocity[A/fs],   0.007607,   0.002840,  -0.029874,  -0.010500,  
Speed[A/fs],   0.194565,   0.186697,   0.672702,   0.678144,  
 
C2H2_14r161,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1946732998,    2.0543185472,    0.9993740457,    0.9998890607,  
Time[fs],  61.408000,  63.452000,  26.852000,  27.069000,  
Charge Sum,    6.2482549534, 
X Velocity[A/fs],  -0.169739,   0.161569,  -0.646855,   0.661226,  
Y Velocity[A/fs],   0.010355,  -0.007056,  -0.064398,   0.091818, 
Z Velocity[A/fs],  -0.002870,   0.000273,  -0.029774,   0.075621,  
Speed[A/fs],   0.170079,   0.161723,   0.650735,   0.671840,  
 
C2H2_14r17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1782577038,    2.1106449366,    0.9993175764,    0.9999502398,  
Time[fs],  59.760000,  63.603000,  26.756000,  26.991000,  
Charge Sum,    6.2881704564, 
X Velocity[A/fs],  -0.176713,   0.162210,  -0.659167,   0.663144,  
Y Velocity[A/fs],   0.002861,  -0.000257,   0.041425,   0.006078, 
Z Velocity[A/fs],   0.004623,  -0.001506,  -0.047120,   0.081610,  
Speed[A/fs],   0.176796,   0.162218,   0.662146,   0.668175,  
 
C2H2_14r2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0813866854,    2.2139211893,    0.9994640481,    0.9999633283,  
Time[fs],  59.824000,  60.805000,  26.751000,  26.893000,  
Charge Sum,    6.2947352511, 
X Velocity[A/fs],  -0.178169,   0.173205,  -0.651749,   0.664316,  
Y Velocity[A/fs],   0.000886,  -0.003992,  -0.053536,   0.078364, 
Z Velocity[A/fs],   0.007863,  -0.006871,  -0.056306,   0.106929,  
Speed[A/fs],   0.178344,   0.173387,   0.656364,   0.677414,  
 
C2H2_14r43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0771647692,    2.2229580879,    0.9992335920,    0.9999602941,  
Time[fs],  58.922000,  61.489000,  26.760000,  26.951000,  
Charge Sum,    6.2993167431, 
X Velocity[A/fs],  -0.182119,   0.171395,  -0.659639,   0.661736,  
Y Velocity[A/fs],   0.003939,  -0.008019,   0.039710,   0.062599, 
Z Velocity[A/fs],   0.001980,  -0.000879,  -0.033369,   0.059137,  
Speed[A/fs],   0.182172,   0.171585,   0.661675,   0.667315,  
 
C2H2_14r84,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1098321676,    2.2295202017,    0.9992683897,    0.9999554261,  
Time[fs],  59.449000,  60.626000,  26.889000,  26.825000,  
Charge Sum,    6.3385761851, 
X Velocity[A/fs],  -0.179872,   0.174353,  -0.653484,   0.668984,  
Y Velocity[A/fs],   0.001788,  -0.001996,  -0.057336,   0.067289, 
Z Velocity[A/fs],   0.012711,  -0.002417,  -0.047024,  -0.001613,  
Speed[A/fs],   0.180330,   0.174381,   0.657677,   0.672362,  
 
C2H2_14r3,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2823024988,    2.0735789537,    0.9988920545,    0.9999010573,  
Time[fs],  62.816000,  60.805000,  26.950000,  26.805000,  
Charge Sum,    6.3546745644, 
X Velocity[A/fs],  -0.164161,   0.169973,  -0.658562,   0.677173,  
Y Velocity[A/fs],   0.003679,  -0.001383,  -0.020381,   0.028796, 
Z Velocity[A/fs],   0.000339,  -0.008466,   0.047569,   0.084395,  
Speed[A/fs],   0.164203,   0.170189,   0.660592,   0.683019,  
 
C2H2_14r46,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3248972893,    1.8974783421,    0.9997120039,    0.9999496739,  
Time[fs],  65.096000,  64.039000,  26.704000,  26.910000,  
Charge Sum,    6.2220373091, 
X Velocity[A/fs],  -0.154348,   0.156078,  -0.654474,   0.669623,  
Y Velocity[A/fs],   0.001261,  -0.007719,  -0.007995,   0.091473, 
Z Velocity[A/fs],   0.002280,  -0.001727,  -0.023519,   0.094060,  
Speed[A/fs],   0.154370,   0.156278,   0.654945,   0.682356,  
 
C2H2_14r164,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2632799149,    2.0742105246,    0.9992649026,    0.9999419774,  
Time[fs],  59.785000,  63.248000,  26.824000,  26.930000,  
Charge Sum,    6.3366973195, 
X Velocity[A/fs],  -0.174906,   0.161927,  -0.662158,   0.659410,  
Y Velocity[A/fs],   0.000884,   0.001022,  -0.035984,   0.054355, 
Z Velocity[A/fs],   0.009244,  -0.010278,  -0.056987,   0.097481,  
Speed[A/fs],   0.175152,   0.162256,   0.665579,   0.668789,  
 
C2H2_14r49,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.2307589054,    2.0468357801,    0.9992745401,    0.9999106066,  
Time[fs],  62.300000,  62.694000,  26.805000,  26.952000,  
Charge Sum,    6.2767798323, 
X Velocity[A/fs],  -0.166147,   0.163499,  -0.653213,   0.670564,  
Y Velocity[A/fs],   0.001006,  -0.002923,   0.015083,   0.066779, 
Z Velocity[A/fs],  -0.005619,   0.007591,   0.096336,  -0.061127,  
Speed[A/fs],   0.166245,   0.163701,   0.660451,   0.676647,  
 
C2H2_14r52,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.3932404518,    1.8941040039,    0.9994412008,    0.9999569073,  
Time[fs],  64.238000,  64.139000,  26.824000,  26.886000,  
