r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.939000,  24.746000,  25.820000,  22.137000,  10.249000,  10.647000,   9.363000,   9.514000,  10.142000,  10.049000,   9.550000,   9.884000,  10.734000,   9.320000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.380825,  -0.243832,   0.238932,   0.378263,  -0.103251,  -0.336805,  -0.853022,  -0.099797,  -0.467006,   0.454265,   0.117160,   0.135621,   0.391163,   0.850538,  
Y Velocity[A/fs],  -0.311879,   0.332771,   0.319071,  -0.312104,  -0.786968,  -0.159602,  -0.063464,   0.200054,   0.785373,   0.785378,   0.186792,  -0.811565,  -0.124448,  -0.047596, 
Z Velocity[A/fs],   0.108705,  -0.288853,   0.294740,  -0.116449,  -0.237515,   0.780826,  -0.277253,  -0.864924,   0.101478,  -0.130224,   0.862822,   0.228165,  -0.772649,   0.291300,  
Speed[A/fs],   0.504096,   0.503613,   0.495749,   0.504035,   0.828489,   0.865216,   0.899190,   0.893350,   0.919349,   0.916588,   0.890550,   0.853867,   0.874919,   0.900298,  
 
r_seed=2,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.871000,  25.362000,  25.141000,  22.774000,  10.061000,  10.540000,   9.335000,   9.495000,  10.401000,  10.225000,   9.671000,   9.934000,  10.855000,   9.323000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.383276,  -0.239759,   0.241590,   0.368612,  -0.097736,  -0.362969,  -0.861500,  -0.086183,  -0.476024,   0.462226,   0.129208,   0.155525,   0.408382,   0.854119,  
Y Velocity[A/fs],  -0.312969,   0.325415,   0.329246,  -0.327056,  -0.802613,  -0.166104,  -0.067947,   0.172867,   0.764613,   0.778289,   0.183915,  -0.816217,  -0.150988,  -0.039721, 
Z Velocity[A/fs],   0.103196,  -0.296354,   0.284904,  -0.094728,  -0.196467,   0.784057,  -0.242518,  -0.867045,   0.144033,  -0.142339,   0.857387,   0.223903,  -0.764274,   0.282490,  
Speed[A/fs],   0.505470,   0.501203,   0.497935,   0.501811,   0.832069,   0.879820,   0.897560,   0.888301,   0.912128,   0.916323,   0.886359,   0.860541,   0.879596,   0.900499,  
 
r_seed=3,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.907000,  25.431000,  25.225000,  22.080000,  10.242000,  10.505000,   9.564000,   9.504000,  10.305000,  10.151000,   9.617000,  10.212000,  10.559000,   9.384000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.383077,  -0.240883,   0.247907,   0.379040,  -0.108486,  -0.394172,  -0.844281,  -0.104104,  -0.493978,   0.481445,   0.097526,   0.106611,   0.395279,   0.851870,  
Y Velocity[A/fs],  -0.310530,   0.325775,   0.327510,  -0.322408,  -0.785560,  -0.173968,  -0.047758,   0.170348,   0.768873,   0.782321,   0.182054,  -0.786861,  -0.123919,  -0.032977, 
Z Velocity[A/fs],   0.110738,  -0.282132,   0.282291,  -0.105292,  -0.282475,   0.781363,  -0.287272,  -0.862291,   0.111781,  -0.081874,   0.858258,   0.291782,  -0.777193,   0.273430,  
Speed[A/fs],   0.505410,   0.493713,   0.498406,   0.508630,   0.841823,   0.892280,   0.893094,   0.885100,   0.920693,   0.922236,   0.882758,   0.845963,   0.880699,   0.895284,  
 
r_seed=4,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.818000,  26.202000,  25.119000,  22.053000,   9.955000,  10.638000,   9.410000,   9.475000,   9.849000,  10.102000,   9.633000,  10.058000,  10.453000,   9.385000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.383460,  -0.247560,   0.246176,   0.379405,  -0.098671,  -0.341524,  -0.853471,  -0.101426,  -0.416578,   0.453191,   0.108135,   0.146363,   0.350903,   0.851915,  
Y Velocity[A/fs],  -0.315057,   0.314700,   0.329136,  -0.321822,  -0.806703,  -0.108063,  -0.103942,   0.172932,   0.803717,   0.784299,   0.166538,  -0.798490,  -0.124163,  -0.000880, 
Z Velocity[A/fs],   0.114689,  -0.293674,   0.272822,  -0.113865,  -0.226345,   0.781140,  -0.266846,  -0.866892,   0.107236,  -0.156180,   0.856087,   0.267237,  -0.789301,   0.266135,  
Speed[A/fs],   0.509368,   0.496554,   0.493321,   0.510375,   0.843645,   0.859358,   0.900235,   0.889772,   0.911591,   0.919184,   0.878813,   0.854648,   0.872666,   0.892518,  
 
r_seed=5,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.075000,  24.840000,  24.973000,  22.904000,   9.869000,  10.715000,   9.434000,   9.552000,   9.752000,  10.242000,   9.654000,   9.782000,  10.809000,   9.464000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.379642,  -0.236644,   0.248278,   0.365840,  -0.119643,  -0.400911,  -0.851537,  -0.123978,  -0.412174,   0.472586,   0.068757,   0.145903,   0.407618,   0.845081,  
Y Velocity[A/fs],  -0.309157,   0.332091,   0.330272,  -0.324514,  -0.813229,  -0.089859,  -0.050250,   0.165808,   0.812513,   0.781311,   0.151360,  -0.819709,  -0.127662,  -0.036688, 
Z Velocity[A/fs],   0.102933,  -0.293044,   0.287657,  -0.106363,  -0.187740,   0.770941,  -0.269234,  -0.865483,   0.112551,  -0.105936,   0.859022,   0.222419,  -0.767634,   0.285285,  
Speed[A/fs],   0.500301,   0.502155,   0.503456,   0.500461,   0.843150,   0.873588,   0.894499,   0.889901,   0.918005,   0.919243,   0.874961,   0.861790,   0.878471,   0.892690,  
 
r_seed=6,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.776000,  25.742000,  24.995000,  22.549000,   9.916000,  10.683000,   9.389000,   9.619000,   9.964000,  10.129000,   9.385000,  10.209000,  10.600000,   9.390000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.384601,  -0.242043,   0.240897,   0.371133,  -0.121914,  -0.369128,  -0.848208,  -0.065945,  -0.429196,   0.454540,   0.115328,   0.132218,   0.375531,   0.850201,  
Y Velocity[A/fs],  -0.309034,   0.319863,   0.329781,  -0.317492,  -0.810116,  -0.087063,  -0.015318,   0.197385,   0.796730,   0.784823,   0.135745,  -0.792091,  -0.177274,  -0.060528, 
Z Velocity[A/fs],   0.120427,  -0.295095,   0.292647,  -0.111313,  -0.202645,   0.777688,  -0.285006,  -0.859074,   0.128389,  -0.117285,   0.873592,   0.261152,  -0.779267,   0.280786,  
Speed[A/fs],   0.507861,   0.497973,   0.502423,   0.500931,   0.843929,   0.865236,   0.894941,   0.883921,   0.914041,   0.914500,   0.891566,   0.844447,   0.883009,   0.897411,  
 
r_seed=7,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.052000,  26.029000,  24.864000,  22.170000,  10.011000,  10.617000,   9.347000,   9.657000,  10.085000,  10.020000,   9.572000,   9.868000,  10.703000,   9.228000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.379474,  -0.240532,   0.243827,   0.377969,  -0.116086,  -0.377010,  -0.856360,  -0.119093,  -0.448763,   0.430540,   0.099072,   0.110896,   0.325286,   0.866322,  
Y Velocity[A/fs],  -0.320243,   0.316281,   0.332834,  -0.323486,  -0.798424,  -0.102289,  -0.015152,   0.196548,   0.786429,   0.798983,   0.138287,  -0.807401,  -0.158507,  -0.031339, 
Z Velocity[A/fs],   0.109800,  -0.295182,   0.281265,  -0.091083,  -0.279389,   0.777911,  -0.256973,  -0.861086,   0.134805,  -0.106080,   0.861967,   0.284150,  -0.775574,   0.229413,  
Speed[A/fs],   0.508539,   0.494997,   0.499339,   0.505767,   0.853824,   0.870486,   0.894213,   0.891226,   0.915440,   0.913779,   0.878593,   0.863096,   0.855833,   0.896731,  
 
r_seed=8,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.230000,  25.482000,  25.774000,  22.449000,  10.000000,  10.664000,   9.267000,   9.650000,   9.954000,  10.032000,   9.498000,   9.677000,  10.530000,   9.324000,  
Charge Sum,   25.9640000000, 
