C4H10_14r45, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.172896546479743, 2.079774726418163, 2.400715123557933, 2.131023669261163, 0.001001140169033429, 0.003944125753511574, 0.03965564629517215, 0.0008955956623753535, 0.005050460368434788, 0.0009760238700202767, 0.004003862874339092, 0.004720604507526165, 0.0007088743798959545, 3.806383565237405e-05, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.000000, 30.000000, 27.000000, 28.000000, 29.000000, 29.000000, 28.000000, 28.500000, 29.000000, 27.000000, 
Density Sum, 8.845404463432967,,,,,,,,,,,,,,
X Velocity[A/fs],-0.135468,-0.087041,0.098866,0.133506,-0.247888,-0.520387,-0.804926,-0.121163,-0.536405,0.506087,0.106919,0.213675,0.471233,0.834914,
Y Velocity[A/fs],-0.123781,0.150133,0.107793,-0.096436,-0.791804,-0.129123,-0.085969,0.203662,0.702678,0.715169,0.085147,-0.799314,-0.090767,-0.116192,
Z Velocity[A/fs],0.003866,-0.093707,0.114518,-0.067364,-0.168417,0.688436,-0.222890,-0.824793,0.125331,-0.037142,0.835756,0.122362,-0.721779,0.216226,
Speed[A/fs],0.183544,0.197223,0.185764,0.177937,0.846620,0.872594,0.839629,0.858162,0.892857,0.876909,0.846859,0.836381,0.866755,0.870250,
,,,,,,,,,,,,,,,
C4H10_14r50, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.245541577197055, 2.299098193922237, 2.340146412159532, 1.890303909313941, 0.00029135044776009, 0.0005273586799032895, 0.0003814253398243506, 0.00019637278863954, 0.0008967821701680841, 0.0007074446339928159, 0.00060860573068466, 0.001148209610005313, 6.757702269670227e-05, 3.788271823285577e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.500000, 30.000000, 27.500000, 28.000000, 29.500000, 28.500000, 28.000000, 28.500000, 30.000000, 27.000000, 
Density Sum, 8.779953101734673,,,,,,,,,,,,,,
X Velocity[A/fs],-0.130828,-0.090727,0.082139,0.139392,-0.185219,-0.569529,-0.780815,-0.057337,-0.569814,0.493536,0.075616,0.223682,0.516408,0.825870,
