C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8271033764,    1.9202253819,    1.5992848873,    1.8689763546,    0.9989988598,    0.9960558740,    0.9603443556,    0.9991044044,    0.9949495397,    0.9990239762,    0.9959961371,    0.9952793955,    0.9992911256,    0.9999619362,  
Time[fs],  69.176000,  65.060000,  77.198000,  69.675000,  28.213000,  30.117000,  27.019000,  28.319000,  29.198000,  28.990000,  28.186000,  28.451000,  29.215000,  27.275000,  
Charge Sum,   17.1545956041, 
X Velocity[A/fs],  -0.168004,  -0.113254,   0.115940,   0.166110,  -0.272895,  -0.554476,  -0.851009,  -0.141608,  -0.556463,   0.504936,   0.096217,   0.216017,   0.474349,   0.821771,  
Y Velocity[A/fs],  -0.150372,   0.182204,   0.129686,  -0.122066,  -0.812561,  -0.132208,  -0.087676,   0.211324,   0.717517,   0.727787,   0.088644,  -0.816618,  -0.093771,  -0.119139, 
Z Velocity[A/fs],   0.021401,  -0.114175,   0.145666,  -0.083844,  -0.172842,   0.699711,  -0.226118,  -0.850858,   0.128156,  -0.036676,   0.857179,   0.125833,  -0.738658,   0.222038,  
Speed[A/fs],   0.226484,   0.243024,   0.226890,   0.222536,   0.874415,   0.902507,   0.884891,   0.888071,   0.917009,   0.886555,   0.867105,   0.854027,   0.882845,   0.859536,  
 
C4H10_14r50,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7544584274,    1.7009017467,    1.6598536968,    2.1096961498,    0.9997086496,    0.9994726413,    0.9996185747,    0.9998036272,    0.9991032179,    0.9992925554,    0.9993913943,    0.9988517904,    0.9999324230,    0.9999621173,  
Time[fs],  70.228000,  71.730000,  68.221000,  68.001000,  28.499000,  29.964000,  27.553000,  27.977000,  29.807000,  28.865000,  28.303000,  28.559000,  30.080000,  27.354000,  
Charge Sum,   17.2200470118, 
X Velocity[A/fs],  -0.164854,  -0.115165,   0.095830,   0.173603,  -0.194557,  -0.602278,  -0.827497,  -0.074573,  -0.601610,   0.500860,   0.064498,   0.225727,   0.502301,   0.813810,  
Y Velocity[A/fs],  -0.117014,   0.128936,   0.167733,  -0.151378,  -0.805286,  -0.087339,  -0.145424,   0.157383,   0.690604,   0.733891,   0.196786,  -0.794432,  -0.162134,  -0.089079, 
Z Velocity[A/fs],   0.089948,  -0.161414,   0.131018,  -0.027549,  -0.241381,   0.689010,  -0.277678,  -0.865182,   0.101075,  -0.115487,   0.866141,   0.340082,  -0.718017,   0.272870,  
Speed[A/fs],   0.221268,   0.236521,   0.233417,   0.231974,   0.862904,   0.919294,   0.884876,   0.882536,   0.921458,   0.895988,   0.890553,   0.893158,   0.891146,   0.862948,  
 
