C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8271033764,    1.9202253819,    1.5992848873,    1.8689763546,    0.9989988598,    0.9960558740,    0.9603443556,    0.9991044044,    0.9949495397,    0.9990239762,    0.9959961371,    0.9952793955,    0.9992911256,    0.9999619362,  
Time[fs],  69.152000,  65.086000,  77.234000,  69.705000,  28.198000,  30.138000,  27.000000,  28.302000,  29.226000,  29.018000,  28.200000,  28.432000,  29.187000,  27.289000,  
Charge Sum,   17.1545956041, 
X Velocity[A/fs],  -0.168038,  -0.113294,   0.115890,   0.166056,  -0.286557,  -0.551462,  -0.830606,  -0.155877,  -0.553054,   0.504464,   0.082417,   0.202088,   0.476930,   0.837505,  
Y Velocity[A/fs],  -0.150430,   0.182153,   0.129640,  -0.122130,  -0.825695,  -0.129056,  -0.067802,   0.196736,   0.721723,   0.727564,   0.074812,  -0.829710,  -0.090745,  -0.103972, 
Z Velocity[A/fs],   0.021350,  -0.114242,   0.145611,  -0.083893,  -0.186633,   0.703155,  -0.206163,  -0.864551,   0.131970,  -0.037731,   0.844014,   0.111965,  -0.735196,   0.237416,  
Speed[A/fs],   0.226543,   0.243036,   0.226803,   0.222550,   0.893710,   0.902880,   0.858491,   0.900251,   0.918786,   0.886148,   0.851322,   0.861275,   0.881028,   0.876693,  
 
C4H10_14r50,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.7544584274,    1.7009017467,    1.6598536968,    2.1096961498,    0.9997086496,    0.9994726413,    0.9996185747,    0.9998036272,    0.9991032179,    0.9992925554,    0.9993913943,    0.9988517904,    0.9999324230,    0.9999621173,  
Time[fs],  70.202000,  71.702000,  68.249000,  68.035000,  28.479000,  29.987000,  27.542000,  27.966000,  29.831000,  28.892000,  28.319000,  28.537000,  30.060000,  27.367000,  
Charge Sum,   17.2200470118, 
X Velocity[A/fs],  -0.164894,  -0.115201,   0.095804,   0.173535,  -0.207559,  -0.597121,  -0.821265,  -0.084366,  -0.594824,   0.497035,   0.050206,   0.213139,   0.506365,   0.826914,  
Y Velocity[A/fs],  -0.117064,   0.128891,   0.167678,  -0.151454,  -0.817590,  -0.082005,  -0.139588,   0.147417,   0.698012,   0.730309,   0.182605,  -0.806336,  -0.157686,  -0.076526, 
