r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160659,  -0.196116,   0.027449,   0.242697,   0.086992,   0.004501,   0.880471,   0.152787,  
Y Velocity[A/fs],   0.098021,  -0.080409,  -0.217319,  -0.026780,   0.226561,  -0.876079,  -0.078460,   0.867613, 
Z Velocity[A/fs],  -0.002962,   0.014766,  -0.008083,   0.009965,  -0.014912,   0.040642,  -0.007059,  -0.024553,  
Speed[A/fs],   0.188224,   0.212474,   0.219195,   0.244373,   0.243146,   0.877032,   0.883988,   0.881305,  
 
r_seed=4,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162826,  -0.198063,   0.025559,   0.244593,   0.085310,   0.092642,   0.876330,   0.174054,  
Y Velocity[A/fs],   0.093551,  -0.084741,  -0.216019,  -0.028784,   0.223887,  -0.871316,  -0.135886,   0.859290, 
Z Velocity[A/fs],   0.004813,  -0.000814,  -0.016666,  -0.010997,   0.007693,  -0.018722,   0.017888,  -0.020448,  
Speed[A/fs],   0.187849,   0.215431,   0.218163,   0.246526,   0.239713,   0.876428,   0.886983,   0.876979,  
 
r_seed=5,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
