isoxazole_14r10,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0090517998,    1.0339543819,    1.4341018200,    1.4189028740,    1.5304553509,    0.9998781043,    0.9997112582,    0.9997970793,  
Time[fs],  83.424000,  85.397000,  77.379000,  69.816000,  71.992000,  31.885000,  31.321000,  31.585000,  
Charge Sum,    9.4258526684, 
X Velocity[A/fs],  -0.177134,  -0.172912,   0.057859,   0.225363,   0.053791,   0.109548,   0.749491,   0.102092,  
Y Velocity[A/fs],   0.083204,  -0.105984,  -0.178056,   0.002192,   0.202840,  -0.721195,   0.006228,   0.735161, 
Z Velocity[A/fs],  -0.002431,   0.006740,   0.004668,  -0.004259,   0.009041,  -0.023419,  -0.008600,  -0.065966,  
Speed[A/fs],   0.195718,   0.202920,   0.187279,   0.225414,   0.210046,   0.729844,   0.749566,   0.745142,  
 
isoxazole_14r11,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2184467316,    1.0643413067,    1.4012753963,    1.5204360485,    1.3948929310,    0.9999109626,    0.9997868218,    0.9998750538,  
Time[fs],  84.583000,  88.393000,  74.830000,  72.230000,  72.798000,  31.180000,  31.431000,  31.166000,  
Charge Sum,    9.5989652523, 
X Velocity[A/fs],  -0.172235,  -0.166239,   0.052974,   0.218367,   0.047418,   0.081813,   0.740053,   0.091188,  
Y Velocity[A/fs],   0.097219,  -0.096895,  -0.187576,   0.017219,   0.191653,  -0.736684,   0.070255,   0.728049, 
Z Velocity[A/fs],  -0.002861,   0.009761,  -0.011994,  -0.002130,   0.014687,   0.080292,  -0.002474,  -0.121144,  
Speed[A/fs],   0.197800,   0.192664,   0.195281,   0.219055,   0.197977,   0.745549,   0.743384,   0.743671,  
 
isoxazole_14r12,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0284166336,    1.1638906002,    1.2906241417,    1.6765217781,    1.4708790779,    0.9997913680,    0.9995987760,    0.9998630622,  
Time[fs],  82.067000,  92.351000,  73.707000,  68.553000,  70.537000,  31.115000,  31.599000,  30.923000,  
Charge Sum,    9.6295854377, 
X Velocity[A/fs],  -0.180665,  -0.156884,   0.046692,   0.238545,   0.038243,   0.131238,   0.736998,   0.059632,  
Y Velocity[A/fs],   0.072393,  -0.121100,  -0.191565,   0.032237,   0.202905,  -0.732575,   0.009998,   0.727359, 
Z Velocity[A/fs],  -0.002744,   0.005967,   0.006525,   0.003420,   0.002697,  -0.057956,  -0.042242,  -0.022739,  
Speed[A/fs],   0.194649,   0.198277,   0.197281,   0.240738,   0.206495,   0.746491,   0.738276,   0.730154,  
 
isoxazole_14r13,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1345696449,    1.1118574142,    1.4258770943,    1.5551064014,    1.4341416359,    0.9998943279,    0.9996483547,    0.9998325154,  
Time[fs],  81.528000,  85.083000,  77.176000,  70.327000,  71.626000,  31.738000,  31.414000,  31.455000,  
Charge Sum,    9.6609273888, 
X Velocity[A/fs],  -0.180928,  -0.174039,   0.063715,   0.227115,   0.038922,   0.218488,   0.744029,   0.147751,  
Y Velocity[A/fs],   0.073260,  -0.116746,  -0.180103,   0.021052,   0.198994,  -0.703446,   0.036085,   0.725594, 
Z Velocity[A/fs],  -0.001387,   0.008980,  -0.008660,  -0.009347,   0.006398,   0.053765,   0.007373,  -0.009200,  
Speed[A/fs],   0.195203,   0.209761,   0.191237,   0.228280,   0.202866,   0.738555,   0.744940,   0.740541,  
 
isoxazole_14r14,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1755061150,    1.0296380520,    1.2155799866,    1.4544537067,    1.5665886402,    0.9999171232,    0.9997954302,    0.9997756127,  
Time[fs],  83.054000,  96.889000,  75.519000,  73.367000,  66.156000,  31.275000,  31.489000,  31.484000,  
Charge Sum,    9.4412546666, 
X Velocity[A/fs],  -0.176398,  -0.146189,   0.045080,   0.213615,   0.035407,   0.089074,   0.739512,   0.076835,  
Y Velocity[A/fs],   0.053190,  -0.114950,  -0.183934,   0.011103,   0.227422,  -0.736824,   0.053559,   0.724164, 
Z Velocity[A/fs],   0.000587,   0.007089,   0.010732,  -0.001429,  -0.004701,  -0.068709,   0.015237,   0.056247,  
Speed[A/fs],   0.184244,   0.186105,   0.189681,   0.213908,   0.230210,   0.745362,   0.741606,   0.730397,  
 
isoxazole_14r15,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1069536209,    0.8715114594,    1.3277602196,    1.7202441692,    1.5369622707,    0.9998987738,    0.9997774139,    0.9998154246,  
Time[fs],  84.166000,  88.438000,  72.101000,  68.723000,  65.488000,  31.647000,  31.442000,  31.603000,  
Charge Sum,    9.5629233520, 
X Velocity[A/fs],  -0.171988,  -0.165582,   0.045172,   0.237763,   0.029828,   0.119529,   0.742793,   0.132536,  
Y Velocity[A/fs],   0.045345,  -0.112927,  -0.198009,   0.027500,   0.227332,  -0.725559,   0.049114,   0.723505, 
Z Velocity[A/fs],  -0.004461,   0.005024,  -0.005912,   0.011491,  -0.001793,   0.010625,  -0.022544,   0.015853,  
Speed[A/fs],   0.177921,   0.200487,   0.203182,   0.239624,   0.229287,   0.735416,   0.744756,   0.735715,  
 
isoxazole_14r16,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    0.6296801567,    1.1882045269,    1.4908039570,    1.5449419022,    1.5536777973,    0.9998632899,    0.9996733967,    0.9998194970,  
Time[fs],  95.066000,  84.504000,  73.552000,  69.640000,  66.873000,  31.825000,  31.350000,  31.580000,  
Charge Sum,    9.4066645237, 
X Velocity[A/fs],  -0.149772,  -0.178567,   0.077257,   0.231860,   0.055996,   0.113599,   0.735447,   0.069063,  
Y Velocity[A/fs],   0.033372,  -0.141691,  -0.192508,   0.017598,   0.227503,  -0.720328,   0.040413,   0.738493, 
Z Velocity[A/fs],   0.000424,   0.009539,  -0.004887,  -0.004859,  -0.002350,   0.028171,   0.049049,   0.045063,  
Speed[A/fs],   0.153445,   0.228152,   0.207489,   0.232577,   0.234305,   0.729775,   0.738188,   0.743083,  
 
isoxazole_14r17,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1076169014,    1.0938422680,    1.3273844719,    1.5691094398,    1.6355702877,    0.9999062209,    0.9998270489,    0.9999102104,  
Time[fs],  79.882000,  89.668000,  75.493000,  68.204000,  66.653000,  31.236000,  31.506000,  31.251000,  
Charge Sum,    9.7331668490, 
X Velocity[A/fs],  -0.187180,  -0.163323,   0.056029,   0.238545,   0.046872,   0.176763,   0.739648,   0.049355,  
Y Velocity[A/fs],   0.050833,  -0.121389,  -0.185526,   0.009609,   0.227639,  -0.720720,   0.061196,   0.732651, 
Z Velocity[A/fs],  -0.003241,   0.002980,  -0.002638,   0.001168,   0.018982,   0.043253,  -0.036852,  -0.101421,  
Speed[A/fs],   0.193987,   0.203515,   0.193820,   0.238741,   0.233188,   0.743339,   0.743089,   0.741282,  
 
isoxazole_14r18,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1707606316,    1.0108473301,    1.4509620667,    1.4663832188,    1.6121504307,    0.9998123565,    0.9997455225,    0.9998857903,  
Time[fs],  82.792000,  85.693000,  75.298000,  71.307000,  65.274000,  31.337000,  31.336000,  31.094000,  
Charge Sum,    9.7105473470, 
X Velocity[A/fs],  -0.178237,  -0.173050,   0.064850,   0.222087,   0.053343,   0.163614,   0.739636,   0.088688,  
Y Velocity[A/fs],   0.065697,  -0.110378,  -0.186901,   0.006760,   0.231727,  -0.726197,   0.043470,   0.726804, 
Z Velocity[A/fs],  -0.000789,   0.006372,  -0.004424,  -0.011406,   0.006654,   0.053282,   0.054396,  -0.068316,  
Speed[A/fs],   0.189961,   0.205354,   0.197881,   0.222483,   0.237881,   0.746305,   0.742907,   0.735375,  
 
isoxazole_14r19,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2638783455,    1.2279849052,    1.3497822285,    1.6040163040,    1.3506491184,    0.9998298913,    0.9993786499,    0.9997326056,  
Time[fs],  84.264000,  88.589000,  76.707000,  70.559000,  72.666000,  31.140000,  31.426000,  31.397000,  
Charge Sum,    9.7952520485, 
X Velocity[A/fs],  -0.173272,  -0.165729,   0.051947,   0.226942,   0.038367,   0.111145,   0.742953,   0.142589,  
Y Velocity[A/fs],   0.093007,  -0.113689,  -0.181221,   0.027630,   0.190094,  -0.738358,   0.025512,   0.723598, 
Z Velocity[A/fs],  -0.001188,  -0.005571,   0.003804,  -0.001494,   0.002242,  -0.029713,  -0.010019,  -0.059912,  
Speed[A/fs],   0.196660,   0.201053,   0.188558,   0.228623,   0.193940,   0.747268,   0.743459,   0.739943,  
 
isoxazole_14r20,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0887341499,    1.1936986446,    1.3918790817,    1.5215845108,    1.4071567059,    0.9998752413,    0.9997300887,    0.9998139013,  
Time[fs],  84.588000,  89.019000,  75.813000,  70.626000,  73.540000,  31.321000,  31.521000,  31.175000,  
Charge Sum,    9.6024723242, 
X Velocity[A/fs],  -0.173151,  -0.163645,   0.061730,   0.224724,   0.041120,   0.133336,   0.741245,   0.082104,  
Y Velocity[A/fs],   0.080677,  -0.116514,  -0.183479,   0.025833,   0.192051,  -0.723547,   0.066588,   0.736891, 
Z Velocity[A/fs],   0.000204,   0.010338,  -0.006423,  -0.000471,  -0.000277,   0.020050,   0.008220,  -0.036943,  
Speed[A/fs],   0.191024,   0.201152,   0.193692,   0.226204,   0.196404,   0.736003,   0.744275,   0.742371,  
 
isoxazole_14r21,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1849703789,    1.1465582848,    1.3555724621,    1.3809041977,    1.5390362740,    0.9998752776,    0.9996465228,    0.9999156831,  
Time[fs],  82.376000,  91.856000,  76.686000,  75.184000,  67.502000,  31.147000,  31.266000,  31.087000,  
Charge Sum,    9.6064790808, 
X Velocity[A/fs],  -0.178818,  -0.157554,   0.062316,   0.205196,   0.048447,   0.107929,   0.742567,   0.067532,  
Y Velocity[A/fs],   0.082918,  -0.112241,  -0.180915,   0.002250,   0.218515,  -0.737244,   0.028099,   0.736345, 
