isoxazole_14r10,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0090517998,    1.0339543819,    1.4341018200,    1.4189028740,    1.5304553509,    0.9998781043,    0.9997112582,    0.9997970793,  
Time[fs],  83.394000,  85.373000,  77.341000,  69.831000,  72.015000,  31.861000,  31.344000,  31.608000,  
Charge Sum,    9.4258526684, 
X Velocity[A/fs],  -0.177206,  -0.172958,   0.057821,   0.225328,   0.053829,   0.109782,   0.746345,   0.100672,  
Y Velocity[A/fs],   0.083178,  -0.105991,  -0.178151,   0.002121,   0.202789,  -0.720072,   0.002501,   0.734395, 
Z Velocity[A/fs],  -0.002398,   0.006755,   0.004598,  -0.004289,   0.008947,  -0.023048,  -0.012345,  -0.067649,  
Speed[A/fs],   0.195771,   0.202964,   0.187356,   0.225379,   0.210002,   0.728757,   0.746451,   0.744343,  
 
isoxazole_14r11,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2184467316,    1.0643413067,    1.4012753963,    1.5204360485,    1.3948929310,    0.9999109626,    0.9997868218,    0.9998750538,  
Time[fs],  84.557000,  88.368000,  74.795000,  72.248000,  72.819000,  31.157000,  31.455000,  31.188000,  
Charge Sum,    9.5989652523, 
X Velocity[A/fs],  -0.172287,  -0.166281,   0.052921,   0.218329,   0.047424,   0.076811,   0.737826,   0.086543,  
Y Velocity[A/fs],   0.097187,  -0.096902,  -0.187668,   0.017154,   0.191612,  -0.741041,   0.067470,   0.723960, 
Z Velocity[A/fs],  -0.002860,   0.009777,  -0.012053,  -0.002182,   0.014643,   0.075290,  -0.005321,  -0.126045,  
Speed[A/fs],   0.197829,   0.192705,   0.195359,   0.219013,   0.197936,   0.748806,   0.740924,   0.739929,  
 
isoxazole_14r12,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0284166336,    1.1638906002,    1.2906241417,    1.6765217781,    1.4708790779,    0.9997913680,    0.9995987760,    0.9998630622,  
Time[fs],  82.041000,  92.320000,  73.673000,  68.567000,  70.554000,  31.093000,  31.623000,  30.943000,  
Charge Sum,    9.6295854377, 
X Velocity[A/fs],  -0.180728,  -0.156935,   0.046633,   0.238527,   0.038270,   0.125962,   0.736184,   0.054405,  
Y Velocity[A/fs],   0.072356,  -0.121116,  -0.191663,   0.032178,   0.202871,  -0.737136,   0.008614,   0.722743, 
Z Velocity[A/fs],  -0.002718,   0.005961,   0.006496,   0.003338,   0.002628,  -0.063077,  -0.043684,  -0.028109,  
Speed[A/fs],   0.194693,   0.198326,   0.197361,   0.240711,   0.206466,   0.750476,   0.737529,   0.725333,  
 
isoxazole_14r13,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1345696449,    1.1118574142,    1.4258770943,    1.5551064014,    1.4341416359,    0.9998943279,    0.9996483547,    0.9998325154,  
Time[fs],  81.502000,  85.057000,  77.139000,  70.344000,  71.647000,  31.712000,  31.437000,  31.478000,  
Charge Sum,    9.6609273888, 
X Velocity[A/fs],  -0.180989,  -0.174093,   0.063668,   0.227082,   0.038937,   0.217652,   0.741646,   0.145274,  
Y Velocity[A/fs],   0.073226,  -0.116752,  -0.180192,   0.020985,   0.198951,  -0.703661,   0.033128,   0.723735, 
Z Velocity[A/fs],  -0.001375,   0.008989,  -0.008722,  -0.009401,   0.006337,   0.053014,   0.004391,  -0.011917,  
Speed[A/fs],   0.195246,   0.209810,   0.191308,   0.228244,   0.202825,   0.738459,   0.742399,   0.738267,  
 
isoxazole_14r14,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1755061150,    1.0296380520,    1.2155799866,    1.4544537067,    1.5665886402,    0.9999171232,    0.9997954302,    0.9997756127,  
Time[fs],  83.024000,  96.861000,  75.485000,  73.382000,  66.172000,  31.253000,  31.512000,  31.506000,  
Charge Sum,    9.4412546666, 
X Velocity[A/fs],  -0.176468,  -0.146226,   0.045035,   0.213589,   0.035418,   0.084550,   0.737773,   0.074528,  
Y Velocity[A/fs],   0.053142,  -0.114978,  -0.184026,   0.011047,   0.227388,  -0.740547,   0.051252,   0.722609, 
Z Velocity[A/fs],   0.000596,   0.007095,   0.010697,  -0.001479,  -0.004793,  -0.073070,   0.012889,   0.053841,  
Speed[A/fs],   0.184297,   0.186152,   0.189758,   0.213880,   0.230180,   0.748931,   0.739664,   0.728435,  
 
isoxazole_14r15,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1069536209,    0.8715114594,    1.3277602196,    1.7202441692,    1.5369622707,    0.9998987738,    0.9997774139,    0.9998154246,  
Time[fs],  84.138000,  88.413000,  72.064000,  68.736000,  65.504000,  31.622000,  31.466000,  31.626000,  
Charge Sum,    9.5629233520, 
X Velocity[A/fs],  -0.172053,  -0.165629,   0.045114,   0.237751,   0.029841,   0.117922,   0.740637,   0.131330,  
Y Velocity[A/fs],   0.045309,  -0.112934,  -0.198126,   0.027438,   0.227300,  -0.726369,   0.046406,   0.722981, 
Z Velocity[A/fs],  -0.004449,   0.005056,  -0.005956,   0.011408,  -0.001860,   0.009115,  -0.025321,   0.014429,  
Speed[A/fs],   0.177975,   0.200531,   0.203284,   0.239600,   0.229258,   0.735935,   0.742521,   0.734954,  
 
isoxazole_14r16,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    0.6296801567,    1.1882045269,    1.4908039570,    1.5449419022,    1.5536777973,    0.9998632899,    0.9996733967,    0.9998194970,  
Time[fs],  95.024000,  84.475000,  73.516000,  69.656000,  66.886000,  31.800000,  31.373000,  31.603000,  
Charge Sum,    9.4066645237, 
X Velocity[A/fs],  -0.149849,  -0.178628,   0.077205,   0.231826,   0.056070,   0.113402,   0.732556,   0.067554,  
Y Velocity[A/fs],   0.033319,  -0.141682,  -0.192607,   0.017511,   0.227485,  -0.719680,   0.036944,   0.737794, 
Z Velocity[A/fs],   0.000514,   0.009534,  -0.004969,  -0.004912,  -0.002469,   0.028054,   0.045583,   0.043472,  
Speed[A/fs],   0.153510,   0.228195,   0.207563,   0.232538,   0.234306,   0.729100,   0.734902,   0.742154,  
 
isoxazole_14r17,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1076169014,    1.0938422680,    1.3273844719,    1.5691094398,    1.6355702877,    0.9999062209,    0.9998270489,    0.9999102104,  
Time[fs],  79.853000,  89.639000,  75.458000,  68.218000,  66.668000,  31.212000,  31.530000,  31.274000,  
Charge Sum,    9.7331668490, 
X Velocity[A/fs],  -0.187258,  -0.163374,   0.055982,   0.238522,   0.046907,   0.172003,   0.738048,   0.045175,  
Y Velocity[A/fs],   0.050792,  -0.121402,  -0.185620,   0.009551,   0.227615,  -0.724858,   0.059047,   0.729084, 
Z Velocity[A/fs],  -0.003218,   0.002991,  -0.002683,   0.001116,   0.018896,   0.038573,  -0.039091,  -0.105806,  
Speed[A/fs],   0.194051,   0.203564,   0.193897,   0.238716,   0.233165,   0.745984,   0.741438,   0.738105,  
 
isoxazole_14r18,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1707606316,    1.0108473301,    1.4509620667,    1.4663832188,    1.6121504307,    0.9998123565,    0.9997455225,    0.9998857903,  
Time[fs],  82.761000,  85.668000,  75.263000,  71.324000,  65.290000,  31.313000,  31.359000,  31.115000,  
Charge Sum,    9.7105473470, 
X Velocity[A/fs],  -0.178311,  -0.173099,   0.064811,   0.222051,   0.053367,   0.159497,   0.736633,   0.083727,  
Y Velocity[A/fs],   0.065657,  -0.110385,  -0.186994,   0.006694,   0.231697,  -0.729678,   0.039897,   0.722437, 
Z Velocity[A/fs],  -0.000769,   0.006397,  -0.004500,  -0.011443,   0.006561,   0.049231,   0.050828,  -0.073485,  
Speed[A/fs],   0.190016,   0.205400,   0.197958,   0.222447,   0.237854,   0.748527,   0.739461,   0.730976,  
 
isoxazole_14r19,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2638783455,    1.2279849052,    1.3497822285,    1.6040163040,    1.3506491184,    0.9998298913,    0.9993786499,    0.9997326056,  
Time[fs],  84.239000,  88.561000,  76.671000,  70.576000,  72.688000,  31.118000,  31.449000,  31.420000,  
Charge Sum,    9.7952520485, 
X Velocity[A/fs],  -0.173321,  -0.165779,   0.051895,   0.226911,   0.038364,   0.105962,   0.740652,   0.139604,  
Y Velocity[A/fs],   0.092970,  -0.113707,  -0.181313,   0.027569,   0.190048,  -0.742827,   0.022642,   0.721213, 
Z Velocity[A/fs],  -0.001188,  -0.005577,   0.003765,  -0.001562,   0.002204,  -0.034781,  -0.012919,  -0.063183,  
Speed[A/fs],   0.196685,   0.201105,   0.188631,   0.228585,   0.193894,   0.751153,   0.741111,   0.737313,  
 
isoxazole_14r20,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0887341499,    1.1936986446,    1.3918790817,    1.5215845108,    1.4071567059,    0.9998752413,    0.9997300887,    0.9998139013,  
Time[fs],  84.562000,  88.990000,  75.779000,  70.643000,  73.561000,  31.297000,  31.544000,  31.197000,  
Charge Sum,    9.6024723242, 
X Velocity[A/fs],  -0.173207,  -0.163694,   0.061679,   0.224689,   0.041135,   0.129107,   0.739798,   0.077507,  
Y Velocity[A/fs],   0.080642,  -0.116528,  -0.183565,   0.025765,   0.192008,  -0.727076,   0.064561,   0.732936, 
Z Velocity[A/fs],   0.000224,   0.010331,  -0.006473,  -0.000523,  -0.000340,   0.015899,   0.006142,  -0.041725,  
Speed[A/fs],   0.191060,   0.201199,   0.193758,   0.226162,   0.196365,   0.738621,   0.742636,   0.738203,  
 
isoxazole_14r21,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1849703789,    1.1465582848,    1.3555724621,    1.3809041977,    1.5390362740,    0.9998752776,    0.9996465228,    0.9999156831,  
Time[fs],  82.348000,  91.828000,  76.652000,  75.202000,  67.520000,  31.125000,  31.289000,  31.108000,  
Charge Sum,    9.6064790808, 
X Velocity[A/fs],  -0.178883,  -0.157598,   0.062277,   0.205161,   0.048458,   0.102766,   0.739040,   0.062541,  
Y Velocity[A/fs],   0.082875,  -0.112260,  -0.181001,   0.002186,   0.218473,  -0.741664,   0.024009,   0.732034, 
Z Velocity[A/fs],  -0.001182,   0.003990,   0.007855,  -0.009321,   0.005520,  -0.065158,   0.046793,   0.008165,  
Speed[A/fs],   0.197151,   0.193534,   0.191576,   0.205385,   0.223850,   0.751580,   0.740909,   0.734746,  
 
isoxazole_14r22,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.3892669678,    0.9767222404,    1.3623137474,    1.5847687721,    1.5791978836,    0.9998762686,    0.9995618484,    0.9998263017,  
Time[fs],  78.124000,  91.929000,  72.475000,  69.322000,  65.634000,  31.240000,  31.310000,  31.053000,  
Charge Sum,    9.8915340300, 
X Velocity[A/fs],  -0.187950,  -0.155693,   0.054784,   0.231260,   0.037122,   0.079091,   0.742655,   0.135482,  
Y Velocity[A/fs],   0.036868,  -0.112585,  -0.196509,   0.017706,   0.224793,  -0.735595,   0.035247,   0.741418, 
Z Velocity[A/fs],   0.004624,  -0.006110,  -0.003182,  -0.002458,  -0.010469,   0.001990,   0.038341,   0.071486,  
Speed[A/fs],   0.191588,   0.192231,   0.204027,   0.231950,   0.228078,   0.739838,   0.744479,   0.757077,  
 
isoxazole_14r23,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1442465782,    1.2324845791,    1.3556404114,    1.5763587952,    1.4067492485,    0.9998821804,    0.9998667008,    0.9999013034,  
Time[fs],  82.682000,  90.121000,  74.890000,  70.721000,  71.826000,  31.498000,  31.821000,  31.166000,  
Charge Sum,    9.7151297971, 
X Velocity[A/fs],  -0.177570,  -0.161037,   0.059201,   0.225426,   0.033897,   0.215962,   0.734370,   0.119566,  
Y Velocity[A/fs],   0.071226,  -0.126073,  -0.186346,   0.027975,   0.196195,  -0.710937,   0.072155,   0.723531, 
Z Velocity[A/fs],   0.001123,  -0.006591,  -0.003555,   0.008649,  -0.005690,   0.001734,  -0.045861,   0.037583,  
Speed[A/fs],   0.191325,   0.204623,   0.195556,   0.227320,   0.199183,   0.743017,   0.739330,   0.734306,  
 
isoxazole_14r24,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1227746010,    0.9270467758,    1.3915467262,    1.4724469185,    1.5701932907,    0.9998093906,    0.9996085908,    0.9997435372,  
Time[fs],  82.560000,  93.019000,  72.849000,  71.460000,  66.409000,  31.280000,  31.229000,  31.651000,  
Charge Sum,    9.4831698308, 
X Velocity[A/fs],  -0.177226,  -0.155462,   0.069638,   0.220243,   0.039740,   0.070043,   0.739952,   0.061890,  
Y Velocity[A/fs],   0.055769,  -0.108538,  -0.194371,   0.015474,   0.226958,  -0.733577,   0.058527,   0.723210, 
Z Velocity[A/fs],   0.000612,  -0.008258,   0.012316,   0.004815,  -0.009031,  -0.071874,  -0.022253,   0.049627,  
Speed[A/fs],   0.185795,   0.189782,   0.206836,   0.220838,   0.230588,   0.740410,   0.742596,   0.727548,  
 
isoxazole_14r25,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    0.8227090836,    1.0793750286,    1.3768806458,    1.4707317352,    1.6474390030,    0.9998171416,    0.9997627013,    0.9998761626,  
Time[fs],  95.555000,  84.872000,  76.375000,  69.551000,  65.068000,  31.722000,  31.492000,  31.531000,  
Charge Sum,    9.3965915016, 
X Velocity[A/fs],  -0.147084,  -0.175001,   0.061344,   0.231646,   0.064664,   0.151605,   0.736336,   0.029272,  
Y Velocity[A/fs],   0.009343,  -0.152395,  -0.181989,  -0.002738,   0.240016,  -0.705934,   0.075519,   0.741710, 
Z Velocity[A/fs],   0.002761,  -0.005701,  -0.005310,   0.001660,  -0.008992,   0.036797,   0.008049,   0.052873,  
Speed[A/fs],   0.147406,   0.232125,   0.192123,   0.231668,   0.248737,   0.722967,   0.740242,   0.744168,  
 
isoxazole_14r26,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1004686356,    1.1521143913,    1.3731076717,    1.3986728191,    1.4087557793,    0.9998634219,    0.9996164333,    0.9999095987,  
Time[fs],  82.926000,  90.566000,  78.682000,  72.289000,  73.945000,  31.441000,  31.466000,  31.494000,  
Charge Sum,    9.4325087509, 
X Velocity[A/fs],  -0.174934,  -0.159927,   0.065614,   0.215948,   0.052256,   0.067838,   0.740881,   0.025314,  
Y Velocity[A/fs],   0.064432,  -0.120651,  -0.173493,   0.010151,   0.193243,  -0.729720,   0.049934,   0.737262, 
Z Velocity[A/fs],   0.000258,  -0.007975,   0.015803,   0.004358,  -0.012733,  -0.057928,  -0.006868,   0.058971,  
Speed[A/fs],   0.186422,   0.200492,   0.186158,   0.216231,   0.200588,   0.735153,   0.742594,   0.740050,  
 
isoxazole_14r27,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0600180626,    1.2486097813,    1.4762437344,    1.4679479599,    1.2882866859,    0.9998806155,    0.9996541017,    0.9998847390,  
Time[fs],  90.047000,  86.517000,  77.017000,  72.544000,  78.762000,  31.689000,  31.483000,  31.162000,  
Charge Sum,    9.5405256803, 
X Velocity[A/fs],  -0.159390,  -0.171975,   0.072113,   0.217489,   0.049523,   0.191058,   0.734402,   0.020335,  
Y Velocity[A/fs],   0.090522,  -0.119646,  -0.181333,   0.012372,   0.170869,  -0.714228,   0.065176,   0.714060, 
Z Velocity[A/fs],   0.003261,  -0.005130,  -0.002681,  -0.003099,  -0.014224,   0.031123,   0.052871,   0.084659,  
Speed[A/fs],   0.183330,   0.209563,   0.195164,   0.217863,   0.178469,   0.739996,   0.739182,   0.719349,  
 
isoxazole_14r29,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.0942425728,    1.0104100704,    1.3415198326,    1.6438271999,    1.4843826294,    0.9998191346,    0.9998765534,    0.9998909100,  
Time[fs],  82.480000,  91.551000,  73.227000,  68.116000,  69.310000,  31.434000,  31.904000,  31.029000,  
Charge Sum,    9.5739689032, 
X Velocity[A/fs],  -0.177851,  -0.159550,   0.054879,   0.239147,   0.048292,   0.143209,   0.731708,   0.076028,  
Y Velocity[A/fs],   0.055060,  -0.108319,  -0.193743,   0.018272,   0.207742,  -0.724355,   0.101173,   0.723495, 
Z Velocity[A/fs],  -0.001422,  -0.004648,  -0.003030,  -0.003673,   0.012945,   0.044546,   0.024683,  -0.101408,  
Speed[A/fs],   0.186184,   0.192901,   0.201389,   0.239873,   0.213674,   0.739718,   0.739081,   0.734513,  
 
isoxazole_14r3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2277941704,    1.2599825859,    1.3982722759,    1.4194824696,    1.6307966709,    0.9998079164,    0.9996936450,    0.9999079594,  
Time[fs],  82.146000,  84.340000,  75.046000,  72.092000,  64.126000,  31.375000,  31.112000,  31.806000,  
Charge Sum,    9.9357376935, 
X Velocity[A/fs],  -0.177752,  -0.174577,   0.052940,   0.217503,   0.041035,   0.148366,   0.742902,   0.282227,  
Y Velocity[A/fs],   0.056117,  -0.116986,  -0.189860,  -0.004062,   0.233837,  -0.727369,   0.010463,   0.684678, 
Z Velocity[A/fs],  -0.001947,  -0.005377,  -0.005962,   0.000230,   0.013488,   0.046539,  -0.019713,  -0.112643,  
Speed[A/fs],   0.186410,   0.210219,   0.197193,   0.217541,   0.237793,   0.743804,   0.743238,   0.749082,  
 
isoxazole_14r30,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1672606468,    1.0355329514,    1.5754003525,    1.4734351635,    1.4770085812,    0.9997633440,    0.9995195075,    0.9998134283,  
Time[fs],  81.068000,  87.267000,  74.675000,  71.151000,  69.503000,  31.396000,  31.253000,  31.258000,  
Charge Sum,    9.7277339752, 
X Velocity[A/fs],  -0.182445,  -0.169838,   0.090264,   0.220858,   0.039395,   0.155599,   0.741676,   0.102571,  
Y Velocity[A/fs],   0.064649,  -0.112718,  -0.189009,   0.019919,   0.207130,  -0.729086,   0.006740,   0.729593, 
Z Velocity[A/fs],  -0.000502,  -0.007232,  -0.001597,   0.004941,   0.007449,  -0.006666,  -0.045921,  -0.079400,  
Speed[A/fs],   0.193562,   0.203967,   0.209462,   0.221810,   0.210974,   0.745535,   0.743127,   0.741034,  
 
isoxazole_14r4,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1533956528,    1.1112480164,    1.3188934326,    1.4571352005,    1.4193949699,    0.9998744556,    0.9998196019,    0.9999071343,  
Time[fs],  84.926000,  92.345000,  75.336000,  73.254000,  74.035000,  31.346000,  31.470000,  31.250000,  
Charge Sum,    9.4596684641, 
X Velocity[A/fs],  -0.172364,  -0.156634,   0.050213,   0.213721,   0.045926,   0.039858,   0.734514,   0.093199,  
Y Velocity[A/fs],   0.091046,  -0.103150,  -0.184596,   0.011871,   0.191337,  -0.735191,   0.059108,   0.731340, 
Z Velocity[A/fs],  -0.000732,  -0.001899,   0.014240,   0.003506,  -0.001472,  -0.070786,  -0.027096,  -0.027322,  
Speed[A/fs],   0.194934,   0.187557,   0.191833,   0.214079,   0.196777,   0.739665,   0.737386,   0.737760,  
 
isoxazole_14r5,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1988420486,    1.1357972622,    1.3806293011,    1.6316628456,    1.4629089832,    0.9998651828,    0.9995877094,    0.9997999604,  
Time[fs],  82.446000,  92.266000,  72.155000,  69.813000,  68.745000,  31.104000,  31.510000,  31.425000,  
Charge Sum,    9.8090932933, 
X Velocity[A/fs],  -0.178242,  -0.157450,   0.063311,   0.230493,   0.027457,   0.168940,   0.737795,   0.135893,  
Y Velocity[A/fs],   0.064521,  -0.120918,  -0.197816,   0.027012,   0.208599,  -0.724148,   0.029688,   0.707572, 
Z Velocity[A/fs],   0.002447,   0.004744,   0.006506,  -0.003211,  -0.014459,  -0.062409,   0.032404,   0.095464,  
Speed[A/fs],   0.189576,   0.198581,   0.207802,   0.232093,   0.210895,   0.746207,   0.739103,   0.726800,  
 
isoxazole_14r6,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.2425203323,    1.2188546658,    1.3714213371,    1.5525214672,    1.5017259121,    0.9996643860,    0.9993106809,    0.9997276357,  
Time[fs],  80.521000,  93.301000,  71.827000,  72.407000,  66.799000,  31.155000,  31.151000,  31.202000,  
Charge Sum,    9.8857464171, 
X Velocity[A/fs],  -0.181190,  -0.153603,   0.052769,   0.217837,   0.044483,   0.082901,   0.741897,   0.131945,  
Y Velocity[A/fs],   0.085854,  -0.102739,  -0.199000,   0.014441,   0.215381,  -0.735664,  -0.007314,   0.734459, 
