C2H2_14r176,   C[0],   C[1],   H[2],   H[3],  
Charges,    1.9177258015,    2.4599108696,    0.9989329322,    0.9999025309,  
Time[fs],  56.832000,  58.282000,  26.782000,  26.710000,  
Charge Sum,    6.3764721341, 
X Velocity[A/fs],  -0.194313,   0.186708,  -0.687982,   0.659981,  
Y Velocity[A/fs],  -0.000029,  -0.002772,   0.036691,  -0.008117, 
Z Velocity[A/fs],   0.007636,   0.002940,  -0.047694,  -0.028132,  
Speed[A/fs],   0.194463,   0.186752,   0.690609,   0.660630,  
 
C2H2_14r161,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1946732998,    2.0543185472,    0.9993740457,    0.9998890607,  
Time[fs],  61.442000,  63.413000,  26.882000,  27.045000,  
Charge Sum,    6.2482549534, 
X Velocity[A/fs],  -0.169660,   0.161660,  -0.667079,   0.640779,  
Y Velocity[A/fs],   0.010431,  -0.006999,  -0.084310,   0.071668, 
Z Velocity[A/fs],  -0.002798,   0.000329,  -0.049664,   0.055479,  
Speed[A/fs],   0.170003,   0.161812,   0.674218,   0.647157,  
 
C2H2_14r17,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.1782577038,    2.1106449366,    0.9993175764,    0.9999502398,  
Time[fs],  59.792000,  63.565000,  26.788000,  26.964000,  
Charge Sum,    6.2881704564, 
X Velocity[A/fs],  -0.176634,   0.162295,  -0.677488,   0.642147,  
Y Velocity[A/fs],   0.002927,  -0.000200,   0.023484,  -0.014573, 
Z Velocity[A/fs],   0.004693,  -0.001445,  -0.065113,   0.060916,  
Speed[A/fs],   0.176720,   0.162302,   0.681015,   0.645194,  
 
C2H2_14r2,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0813866854,    2.2139211893,    0.9994640481,    0.9999633283,  
Time[fs],  59.857000,  60.772000,  26.784000,  26.863000,  
Charge Sum,    6.2947352511, 
X Velocity[A/fs],  -0.178079,   0.173285,  -0.669952,   0.643604,  
Y Velocity[A/fs],   0.000945,  -0.003917,  -0.071407,   0.057979, 
Z Velocity[A/fs],   0.007922,  -0.006794,  -0.074181,   0.086530,  
Speed[A/fs],   0.178257,   0.173462,   0.677819,   0.651978,  
 
C2H2_14r43,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0771647692,    2.2229580879,    0.9992335920,    0.9999602941,  
Time[fs],  58.954000,  61.455000,  26.793000,  26.922000,  
