r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.415000,  25.176000,  26.314000,  22.139000,  10.255000,  10.657000,   9.401000,   9.536000,  10.172000,  10.141000,   9.582000,   9.958000,  10.868000,  10.478000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.372673,  -0.235489,   0.224507,   0.378878,  -0.098237,  -0.333885,  -0.849402,  -0.096339,  -0.463720,   0.465912,   0.131131,   0.150823,   0.407131,   0.749035,  
Y Velocity[A/fs],  -0.304312,   0.327201,   0.313022,  -0.308020,  -0.787427,  -0.160865,  -0.064826,   0.199691,   0.783324,   0.777822,   0.182836,  -0.806518,  -0.124164,  -0.034164, 
Z Velocity[A/fs],   0.106554,  -0.281614,   0.287453,  -0.113252,  -0.234455,   0.780555,  -0.275725,  -0.863052,   0.099886,  -0.126230,   0.860539,   0.231873,  -0.763725,   0.265418,  
Speed[A/fs],   0.492793,   0.491754,   0.480641,   0.501249,   0.827443,   0.864073,   0.895383,   0.891076,   0.915756,   0.915431,   0.889467,   0.852634,   0.874327,   0.795404,  
 
r_seed=2,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.343000,  25.815000,  25.608000,  22.776000,  10.068000,  10.551000,   9.373000,   9.516000,  10.431000,  10.322000,   9.704000,  10.004000,  10.996000,  10.487000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.375143,  -0.231407,   0.227093,   0.369192,  -0.092247,  -0.359980,  -0.857735,  -0.082643,  -0.472797,   0.474386,   0.143578,   0.171190,   0.424793,   0.751900,  
Y Velocity[A/fs],  -0.305361,   0.319822,   0.323224,  -0.323004,  -0.802859,  -0.167226,  -0.069478,   0.172469,   0.762818,   0.770529,   0.180048,  -0.811684,  -0.150616,  -0.026082, 
Z Velocity[A/fs],   0.101010,  -0.289183,   0.277683,  -0.091567,  -0.193416,   0.783535,  -0.240925,  -0.865258,   0.142593,  -0.138114,   0.855072,   0.227991,  -0.754953,   0.256060,  
Speed[A/fs],   0.494146,   0.489349,   0.482859,   0.499018,   0.830964,   0.878337,   0.893634,   0.886142,   0.908714,   0.915332,   0.885539,   0.860301,   0.879254,   0.794733,  
 
r_seed=3,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.381000,  25.886000,  25.696000,  22.081000,  10.251000,  10.518000,   9.603000,   9.525000,  10.336000,  10.253000,   9.648000,  10.288000,  10.694000,  10.564000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.374954,  -0.232572,   0.233581,   0.379659,  -0.103892,  -0.391177,  -0.840671,  -0.100462,  -0.490611,   0.493791,   0.111425,   0.122481,   0.410816,   0.749599,  
Y Velocity[A/fs],  -0.302920,   0.320178,   0.321498,  -0.318389,  -0.785665,  -0.175081,  -0.049242,   0.169959,   0.766840,   0.773833,   0.178232,  -0.782137,  -0.123590,  -0.018465, 
Z Velocity[A/fs],   0.108564,  -0.274958,   0.275071,  -0.102208,  -0.279526,   0.780611,  -0.285690,  -0.860552,   0.110376,  -0.077567,   0.856259,   0.295642,  -0.767796,   0.247960,  
Speed[A/fs],   0.494103,   0.481877,   0.483306,   0.505923,   0.840356,   0.890520,   0.889253,   0.882909,   0.917020,   0.921230,   0.881681,   0.845070,   0.879520,   0.789762,  
 
r_seed=4,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.287000,  26.685000,  25.589000,  22.052000,   9.964000,  10.646000,   9.449000,   9.496000,   9.877000,  10.196000,   9.665000,  10.136000,  10.577000,  10.572000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.375357,  -0.239198,   0.231829,   0.380072,  -0.093669,  -0.338483,  -0.849663,  -0.097800,  -0.413221,   0.465453,   0.122004,   0.162281,   0.366116,   0.748771,  
Y Velocity[A/fs],  -0.307448,   0.309106,   0.323072,  -0.317788,  -0.806702,  -0.109167,  -0.105377,   0.172469,   0.801794,   0.776657,   0.162730,  -0.793399,  -0.123592,   0.012624, 
Z Velocity[A/fs],   0.112466,  -0.286512,   0.265632,  -0.110697,  -0.223421,   0.781113,  -0.265153,  -0.865173,   0.105952,  -0.151991,   0.853963,   0.271109,  -0.780731,   0.240220,  
Speed[A/fs],   0.498062,   0.484615,   0.478206,   0.507639,   0.842294,   0.858269,   0.896291,   0.887601,   0.908213,   0.918120,   0.877849,   0.854001,   0.871124,   0.786462,  
 
r_seed=5,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.556000,  25.274000,  25.427000,  22.903000,   9.878000,  10.725000,   9.472000,   9.574000,   9.780000,  10.343000,   9.682000,   9.856000,  10.951000,  10.671000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.371506,  -0.228300,   0.233805,   0.366483,  -0.114319,  -0.397890,  -0.847877,  -0.120437,  -0.408795,   0.485347,   0.082434,   0.161352,   0.424199,   0.742308,  
Y Velocity[A/fs],  -0.301567,   0.326492,   0.324386,  -0.320639,  -0.813190,  -0.090887,  -0.051700,   0.165579,   0.810567,   0.773128,   0.147437,  -0.814632,  -0.127307,  -0.022954, 
Z Velocity[A/fs],   0.100745,  -0.285856,   0.280324,  -0.103248,  -0.184838,   0.770724,  -0.267684,  -0.863604,   0.111259,  -0.101379,   0.857555,   0.226203,  -0.758209,   0.259124,  
Speed[A/fs],   0.488988,   0.490338,   0.488336,   0.497774,   0.841731,   0.872119,   0.890631,   0.887544,   0.914610,   0.918459,   0.874033,   0.860714,   0.878085,   0.786570,  
 
r_seed=6,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.244000,  26.208000,  25.456000,  22.554000,   9.925000,  10.691000,   9.426000,   9.641000,   9.992000,  10.224000,   9.417000,  10.281000,  10.732000,  10.569000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.376447,  -0.233645,   0.226558,   0.371646,  -0.116603,  -0.366163,  -0.844683,  -0.062537,  -0.425940,   0.466599,   0.128768,   0.148283,   0.391186,   0.748222,  
Y Velocity[A/fs],  -0.301463,   0.314273,   0.323787,  -0.313493,  -0.809956,  -0.088349,  -0.016588,   0.196915,   0.794872,   0.776963,   0.131793,  -0.787937,  -0.177121,  -0.046266, 
Z Velocity[A/fs],   0.118249,  -0.287858,   0.285408,  -0.108327,  -0.199635,   0.777661,  -0.283621,  -0.857306,   0.127032,  -0.113095,   0.871251,   0.265428,  -0.770237,   0.255486,  
Speed[A/fs],   0.496563,   0.486024,   0.487468,   0.498131,   0.842305,   0.864082,   0.891182,   0.881851,   0.910705,   0.913332,   0.890522,   0.844562,   0.881853,   0.791991,  
 
r_seed=7,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.532000,  26.507000,  25.327000,  22.173000,  10.020000,  10.627000,   9.384000,   9.679000,  10.113000,  10.112000,   9.603000,   9.943000,  10.829000,  10.353000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.371338,  -0.232186,   0.229456,   0.378524,  -0.111550,  -0.374019,  -0.852836,  -0.115640,  -0.445441,   0.443069,   0.112473,   0.126479,   0.341007,   0.765633,  
Y Velocity[A/fs],  -0.312639,   0.310662,   0.326731,  -0.319518,  -0.798434,  -0.103377,  -0.016484,   0.196228,   0.784583,   0.791327,   0.134535,  -0.802253,  -0.158235,  -0.017035, 
Z Velocity[A/fs],   0.107616,  -0.288044,   0.273963,  -0.087872,  -0.276645,   0.777723,  -0.255619,  -0.859155,   0.133454,  -0.102077,   0.859911,   0.287375,  -0.767414,   0.205092,  
Speed[A/fs],   0.497209,   0.483105,   0.484209,   0.503084,   0.852333,   0.869155,   0.890473,   0.888833,   0.912029,   0.912649,   0.877609,   0.861505,   0.854546,   0.792809,  
 
r_seed=8,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.717000,  25.939000,  26.266000,  22.452000,  10.009000,  10.674000,   9.303000,   9.672000,   9.983000,  10.124000,   9.533000,   9.751000,  10.653000,  10.484000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.368434,  -0.238786,   0.232914,   0.372956,  -0.124276,  -0.393948,  -0.855715,  -0.116635,  -0.425805,   0.451128,   0.147845,   0.159566,   0.346620,   0.755773,  
Y Velocity[A/fs],  -0.316335,   0.318838,   0.313844,  -0.326155,  -0.804602,  -0.096002,  -0.041549,   0.207673,   0.798508,   0.784626,   0.134823,  -0.819311,  -0.089609,  -0.025102, 
Z Velocity[A/fs],   0.099991,  -0.275129,   0.278182,  -0.108463,  -0.226257,   0.771866,  -0.260146,  -0.856011,   0.100006,  -0.105376,   0.862231,   0.239266,  -0.777619,   0.214533,  
Speed[A/fs],   0.495792,   0.484120,   0.479721,   0.507186,   0.844998,   0.871888,   0.895350,   0.888530,   0.910453,   0.911185,   0.885142,   0.868320,   0.856076,   0.786032,  
 
r_seed=9,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.608000,  25.587000,  26.160000,  22.624000,  10.242000,  10.473000,   9.516000,   9.494000,  10.263000,  10.381000,   9.518000,   9.881000,  10.844000,  10.586000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.369718,  -0.234533,   0.231657,   0.370955,  -0.107158,  -0.348557,  -0.847926,  -0.119425,  -0.460870,   0.482295,   0.129277,   0.166517,   0.377335,   0.751201,  
Y Velocity[A/fs],  -0.307151,   0.322383,   0.316183,  -0.319965,  -0.786163,  -0.135155,  -0.040979,   0.122475,   0.772413,   0.760964,   0.131916,  -0.814569,  -0.162251,  -0.017539, 
Z Velocity[A/fs],   0.120262,  -0.284586,   0.279851,  -0.111881,  -0.274722,   0.789399,  -0.254030,  -0.866394,   0.146690,  -0.160403,   0.861841,   0.247175,  -0.769384,   0.230441,  
Speed[A/fs],   0.495476,   0.489822,   0.481615,   0.502497,   0.839647,   0.873447,   0.886109,   0.883120,   0.911340,   0.915097,   0.881411,   0.867379,   0.872157,   0.785947,  
 
r_seed=10,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.622000,  25.859000,  26.487000,  22.338000,  10.131000,  10.764000,   9.380000,   9.454000,  10.263000,  10.068000,   9.704000,   9.907000,  10.789000,  10.456000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.369888,  -0.242648,   0.220888,   0.375745,  -0.111868,  -0.384738,  -0.850564,  -0.066405,  -0.468214,   0.470735,   0.077630,   0.139380,   0.394410,   0.755300,  
Y Velocity[A/fs],  -0.311752,   0.319179,   0.312494,  -0.326352,  -0.793459,  -0.139094,  -0.058841,   0.202891,   0.774431,   0.781599,   0.153982,  -0.815132,  -0.116548,  -0.027796, 
Z Velocity[A/fs],   0.108184,  -0.291979,   0.273498,  -0.090411,  -0.261253,   0.771590,  -0.274510,  -0.865939,   0.117881,  -0.078613,   0.853880,   0.218937,  -0.763334,   0.234178,  
Speed[A/fs],   0.495692,   0.495989,   0.470367,   0.505830,   0.842819,   0.873339,   0.895699,   0.891866,   0.912614,   0.915788,   0.871119,   0.855453,   0.867076,   0.791259,  
 
r_seed=11,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.268000,  26.072000,  26.259000,  22.020000,  10.188000,  10.509000,   9.438000,   9.444000,  10.044000,  10.238000,   9.681000,   9.886000,  10.866000,  10.529000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.375680,  -0.228381,   0.225400,   0.380424,  -0.116351,  -0.337365,  -0.852000,  -0.094802,  -0.461043,   0.474714,   0.071369,   0.125381,   0.413689,   0.755846,  
Y Velocity[A/fs],  -0.306263,   0.317017,   0.313915,  -0.314285,  -0.788986,  -0.146459,  -0.095675,   0.153527,   0.782711,   0.776627,   0.148646,  -0.813772,  -0.126592,  -0.011771, 
Z Velocity[A/fs],   0.102965,  -0.286585,   0.290396,  -0.103912,  -0.272273,   0.785375,  -0.265462,  -0.866972,   0.115240,  -0.080825,   0.857854,   0.205824,  -0.762943,   0.226384,  
Speed[A/fs],   0.495514,   0.484550,   0.483402,   0.504277,   0.842715,   0.867225,   0.897512,   0.885549,   0.915684,   0.913802,   0.873557,   0.848710,   0.877066,   0.789108,  
 
r_seed=12,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9266099532,    3.9140835550,    3.8563755248,    3.9516147829,    0.9992713979,    0.9994498161,    0.9984203040,    0.9996101127,    0.9982883018,    0.9996542989,    0.9991116732,    0.9985516796,    0.9996795638,    0.8989737733,  
Time[fs],  22.626000,  25.641000,  26.078000,  22.385000,  10.036000,  10.616000,   9.722000,   9.506000,  10.049000,  10.127000,   9.520000,  10.147000,  10.805000,  10.599000,  
Charge Sum,   25.5396947371, 
X Velocity[A/fs],  -0.369763,  -0.234384,   0.225003,   0.375676,  -0.120928,  -0.374578,  -0.832419,  -0.080534,  -0.446435,   0.463925,   0.062311,   0.141087,   0.402353,   0.743349,  
