r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  70.013000,  58.989000,  49.685000,  48.716000,  48.027000,  12.259000,  13.315000,  12.590000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.158258,  -0.190901,   0.026295,   0.233154,   0.083319,   0.008676,   0.795651,   0.142108,  
Y Velocity[A/fs],   0.095738,  -0.077230,  -0.208382,  -0.025854,   0.217118,  -0.783613,  -0.070785,   0.777553, 
Z Velocity[A/fs],  -0.002830,   0.014134,  -0.007468,   0.009326,  -0.014188,   0.036411,  -0.006242,  -0.022312,  
Speed[A/fs],   0.184985,   0.206416,   0.210167,   0.234768,   0.232988,   0.784506,   0.798818,   0.790748,  
 
r_seed=4,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.946000,  58.611000,  50.018000,  48.387000,  48.730000,  12.511000,  13.448000,  12.669000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160347,  -0.192678,   0.024322,   0.234915,   0.081847,   0.089869,   0.792300,   0.161352,  
Y Velocity[A/fs],   0.091101,  -0.081397,  -0.207194,  -0.027873,   0.214669,  -0.778547,  -0.125035,   0.770432, 
Z Velocity[A/fs],   0.004676,  -0.000870,  -0.016087,  -0.010691,   0.007232,  -0.017251,   0.015465,  -0.018405,  
Speed[A/fs],   0.184479,   0.209167,   0.209236,   0.236805,   0.229857,   0.783906,   0.802255,   0.787362,  
 
r_seed=5,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.670000,  60.412000,  49.165000,  49.643000,  47.768000,  12.523000,  13.452000,  12.536000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.161373,  -0.186731,   0.026956,   0.230645,   0.081933,   0.028817,   0.792092,   0.123387,  
Y Velocity[A/fs],   0.098348,  -0.073828,  -0.212038,  -0.023144,   0.219921,  -0.781515,  -0.075529,   0.779976, 
Z Velocity[A/fs],  -0.005427,  -0.010365,   0.001052,  -0.001886,   0.018115,  -0.015310,   0.010350,   0.011735,  
Speed[A/fs],   0.189058,   0.201064,   0.213747,   0.231811,   0.235386,   0.782196,   0.795752,   0.789762,  
 
r_seed=6,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.530000,  57.959000,  50.342000,  49.243000,  48.421000,  12.595000,  13.477000,  12.590000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.161393,  -0.194861,   0.019950,   0.231583,   0.082364,   0.074667,   0.796074,   0.172513,  
Y Velocity[A/fs],   0.096343,  -0.075517,  -0.206629,  -0.029896,   0.216175,  -0.776647,  -0.039108,   0.771451, 
Z Velocity[A/fs],   0.012331,  -0.008896,   0.011685,  -0.008437,   0.008556,  -0.031710,  -0.019527,   0.015630,  
Speed[A/fs],   0.188366,   0.209171,   0.207918,   0.233657,   0.231492,   0.780872,   0.797273,   0.790659,  
 
r_seed=7,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.638000,  59.762000,  49.916000,  48.653000,  48.267000,  12.525000,  13.428000,  12.502000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.161267,  -0.189040,   0.029904,   0.233956,   0.078606,   0.055982,   0.797944,   0.119734,  
Y Velocity[A/fs],   0.088605,  -0.083136,  -0.208184,  -0.023395,   0.217007,  -0.780590,  -0.037241,   0.778353, 
Z Velocity[A/fs],   0.007062,  -0.009264,  -0.009073,   0.027533,  -0.024528,   0.000694,   0.003740,   0.053522,  
Speed[A/fs],   0.184141,   0.206721,   0.210516,   0.236729,   0.232105,   0.782595,   0.798821,   0.789325,  
 
r_seed=8,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  70.618000,  57.337000,  49.076000,  49.205000,  48.104000,  12.425000,  13.544000,  12.435000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.156253,  -0.196471,   0.022941,   0.231219,   0.080350,   0.016453,   0.794362,   0.122141,  
Y Velocity[A/fs],   0.086939,  -0.081835,  -0.211000,  -0.029830,   0.217218,  -0.786520,  -0.064385,   0.779122, 
Z Velocity[A/fs],  -0.008966,  -0.002099,   0.005532,  -0.009302,   0.006071,   0.006293,  -0.004533,   0.033322,  
Speed[A/fs],   0.179035,   0.212844,   0.212316,   0.233320,   0.231682,   0.786717,   0.796980,   0.789341,  
 
r_seed=9,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  69.006000,  60.450000,  47.409000,  50.426000,  47.177000,  12.369000,  13.381000,  12.723000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160123,  -0.186141,   0.028040,   0.225907,   0.076817,   0.068785,   0.793119,   0.142298,  
Y Velocity[A/fs],   0.088911,  -0.079661,  -0.218495,  -0.022577,   0.221780,  -0.783908,  -0.067192,   0.777445, 
Z Velocity[A/fs],   0.020603,  -0.010684,  -0.003544,  -0.004759,  -0.014062,   0.015543,   0.028348,  -0.015244,  
Speed[A/fs],   0.184307,   0.202752,   0.220316,   0.227082,   0.235127,   0.787073,   0.796465,   0.790507,  
 
r_seed=10,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  71.307000,  56.368000,  48.153000,  50.278000,  48.218000,  12.334000,  13.536000,  12.587000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.154342,  -0.199809,   0.015246,   0.225796,   0.084307,   0.041414,   0.791026,   0.167664,  
Y Velocity[A/fs],   0.090175,  -0.076767,  -0.214509,  -0.034910,   0.216359,  -0.786049,  -0.080929,   0.770766, 
Z Velocity[A/fs],   0.004428,  -0.013768,   0.000744,   0.018780,  -0.008086,  -0.028433,  -0.011339,  -0.030386,  
Speed[A/fs],   0.178809,   0.214491,   0.215051,   0.229249,   0.232345,   0.787653,   0.795236,   0.789376,  
 
r_seed=11,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs],  68.222000,  59.537000,  49.414000,  48.425000,  48.126000,  12.401000,  13.428000,  12.715000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162073,  -0.188999,   0.027864,   0.234134,   0.076792,   0.084006,   0.792643,   0.159127,  
Y Velocity[A/fs],   0.089136,  -0.082378,  -0.209101,  -0.022836,   0.216950,  -0.780609,  -0.124562,   0.771575, 
