C2H2_14r1, C[0], C[1], H[2], H[3], 
Densities, 1.902957530637365, 1.753135432640588, 0.00078561607281926, 8.01388635376314e-05, 
Time[fs], 64.500000, 62.500000, 26.500000, 26.500000, 
Density Sum, 3.65695871821431
X Velocity[A/fs], -0.153478, 0.163936, -0.79519, 0.801159,  
Y Velocity[A/fs],-0.00596373, 0.00297886, 0.00212931, -0.0813196,  
Z Velocity[A/fs],0.00535917, 0.00736751, 0.0877524, -0.131854,  
Speed[A/fs],0.153687, 0.164129, 0.80002, 0.815999, 

C2H2_14r2, C[0], C[1], H[2], H[3], 
Densities, 1.918613295354811, 1.786078864162912, 0.0005359518880780632, 3.66717270342144e-05, 
Time[fs], 64.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.705264783132835
X Velocity[A/fs], -0.156326, 0.155258, -0.786369, 0.793705,  
Y Velocity[A/fs],0.00410084, 0.00480482, -0.0867615, 0.0715364,  
Z Velocity[A/fs],0.00206286, 0.00145655, -0.0908905, 0.105514,  
Speed[A/fs],0.156393, 0.155339, 0.796344, 0.803877, 

C2H2_14r3, C[0], C[1], H[2], H[3], 
Densities, 1.717697520373521, 1.926420997363754, 0.001107945483977104, 9.894270616090661e-05, 
Time[fs], 65.000000, 61.000000, 26.500000, 26.500000, 
Density Sum, 3.645325405927413
X Velocity[A/fs], -0.155903, 0.168102, -0.802636, 0.812312,  
Y Velocity[A/fs],-0.00399257, 0.000542023, -0.0501956, 0.0118305,  
Z Velocity[A/fs],0.000366402, 0.00731192, 0.0332428, 0.0798987,  
Speed[A/fs],0.155955, 0.168262, 0.804891, 0.816317, 

C2H2_14r4, C[0], C[1], H[2], H[3], 
Densities, 2.057884925650655, 1.563325932387808, 0.001197180026911026, 6.654882130272235e-05, 
Time[fs], 63.000000, 61.000000, 26.500000, 26.500000, 
Density Sum, 3.622474586886677
X Velocity[A/fs], -0.157517, 0.167395, -0.799403, 0.818844,  
Y Velocity[A/fs],-0.00223507, -0.00685116, -0.00789364, 0.0889259,  
Z Velocity[A/fs],-0.00697324, 0.00485615, 0.0769273, -0.041861,  
Speed[A/fs],0.157687, 0.167606, 0.803134, 0.824722, 

C2H2_14r5, C[0], C[1], H[2], H[3], 
Densities, 2.212930184384414, 1.460211229896393, 0.0007242691110351427, 5.072306687270968e-05, 
Time[fs], 66.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.673916406458715
X Velocity[A/fs], -0.149806, 0.160983, -0.78992, 0.813724,  
Y Velocity[A/fs],-0.00219815, 0.000537325, 0.0543908, -0.0707349,  
Z Velocity[A/fs],-0.00416489, 0.0049098, 0.0598064, -0.0734419,  
Speed[A/fs],0.14988, 0.161058, 0.794046, 0.820088, 
