C4H10_14r1, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.989390141542285, 2.199622255490282, 2.611887232077296, 1.941643197431403, 0.0004732503148753514, 0.001965946811933885, 0.009232050982310327, 0.0002974400091706934, 5.020103221009127e-05, 0.000381580892380753, 0.001051822716628186, 0.001498977021536496, 0.001242105442630637, 9.264505827849866e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 30.000000, 27.000000, 28.000000, 28.500000, 29.000000, 28.000000, 28.500000, 28.500000, 26.500000, 
Density Sum, 8.758828846823222
X Velocity[A/fs], -0.135404, -0.0865193, 0.0930274, 0.138839, -0.223188, -0.554521, -0.908016, -0.109437, -0.536975, 0.568712, 0.0950122, 0.266434, 0.431335, 0.941636,  
Y Velocity[A/fs],-0.121525, 0.128332, 0.123418, -0.11376, -0.871353, -0.140582, -0.078181, 0.183542, 0.773926, 0.758867, 0.185068, -0.830455, -0.217254, -0.000776206,  
Z Velocity[A/fs],0.00464083, -0.0996589, 0.119723, -0.052561, -0.28738, 0.726373, -0.249224, -0.921128, 0.0971822, -0.0744514, 0.921427, 0.352718, -0.81257, 0.120427,  
Speed[A/fs],0.182001, 0.184083, 0.195498, 0.18703, 0.944276, 0.924594, 0.944837, 0.94559, 0.946968, 0.951239, 0.944619, 0.940772, 0.945261, 0.949305, 

C4H10_14r2, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.089491305969065, 1.991044261141871, 2.108248062996668, 2.071373018216623, 0.0009289151368277485, 0.003366540788988712, 0.07804532708014139, 0.001039662062623218, 0.004064670288434501, 0.0006632831735702761, 0.003083969368845352, 0.002286023825615054, 0.0003161179595583868, 0.0002977484797102355, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 30.000000, 26.500000, 28.000000, 29.000000, 29.000000, 28.000000, 28.500000, 30.000000, 26.500000, 
Density Sum, 8.354248906488543
X Velocity[A/fs], -0.139049, -0.0957795, 0.0924767, 0.143036, -0.260447, -0.516283, -0.938291, -0.032528, -0.543079, 0.556639, 0.101039, 0.203059, 0.479017, 0.930858,  
Y Velocity[A/fs],-0.131568, 0.135163, 0.123306, -0.125676, -0.837292, -0.218352, -0.0324246, 0.242365, 0.772165, 0.764832, 0.259777, -0.833397, -0.324854, -0.0684622,  
Z Velocity[A/fs],0.00371551, -0.129195, 0.124498, -0.013551, -0.369305, 0.747569, -0.185976, -0.92528, 0.201677, -0.159333, 0.917243, 0.413413, -0.739932, 0.178394,  
Speed[A/fs],0.191464, 0.210081, 0.198131, 0.190886, 0.951461, 0.93439, 0.957094, 0.957049, 0.965323, 0.959272, 0.95866, 0.952205, 0.939407, 0.950267, 

C4H10_14r3, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.531095743757885, 2.235796301865502, 2.234008119158352, 1.935360618605013, 0.0004315588518707161, 0.001274101675064352, 0.03864365831305001, 0.0003183307329522093, 0.002103432810694007, 0.001523669484861305, 0.0006966888843019236, 0.001650258151610852, 0.0001480360487437798, 0.004663077251894913, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 30.000000, 26.500000, 28.000000, 29.500000, 28.500000, 28.000000, 28.500000, 30.000000, 27.500000, 
Density Sum, 8.987713595591794
X Velocity[A/fs], -0.128711, -0.081454, 0.087307, 0.146039, -0.209557, -0.473589, -0.935498, -0.032082, -0.584061, 0.557881, -0.0181783, 0.193792, 0.558596, 0.884999,  
Y Velocity[A/fs],-0.112552, 0.123011, 0.134348, -0.125255, -0.81198, -0.270144, -0.0189545, 0.25385, 0.727945, 0.769296, 0.275696, -0.837964, -0.226426, -0.0672703,  
Z Velocity[A/fs],0.00991199, -0.116965, 0.0989839, -0.0170467, -0.414283, 0.743763, -0.151231, -0.922847, 0.11596, -0.0667186, 0.90443, 0.368615, -0.718351, 0.314802,  
Speed[A/fs],0.171268, 0.188275, 0.188334, 0.19315, 0.935337, 0.922197, 0.947833, 0.957661, 0.940467, 0.952627, 0.945691, 0.935743, 0.937724, 0.941727, 

C4H10_14r4, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 2.122319340292909, 2.20333288558543, 2.537217026385657, 2.059173835908493, 0.0008784516814016978, 0.002768985255200071, 0.02131394316221122, 0.0006401507659019454, 0.0001789671016290165, 0.007303975890786792, 0.003279553930500496, 0.000651351386065125, 0.00032483911035056, 0.0003063948905302364, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.000000, 30.000000, 27.000000, 28.000000, 28.500000, 28.000000, 28.000000, 29.500000, 29.500000, 26.500000, 
Density Sum, 8.959689701347065
X Velocity[A/fs], -0.140098, -0.0813704, 0.0948059, 0.13695, -0.155698, -0.562887, -0.90019, -0.0844941, -0.525255, 0.513291, 0.0842429, 0.325833, 0.419882, 0.950839,  
Y Velocity[A/fs],-0.123436, 0.127503, 0.131204, -0.12401, -0.909805, -0.167196, -0.0952463, 0.162443, 0.778559, 0.80209, 0.196417, -0.739967, -0.300695, 0.0430303,  
Z Velocity[A/fs],0.00943199, -0.106184, 0.100864, -0.00975779, -0.182212, 0.7168, -0.276902, -0.936007, 0.101655, -0.052854, 0.92013, 0.496342, -0.775485, 0.043037,  
Speed[A/fs],0.186957, 0.184806, 0.190726, 0.185011, 0.940845, 0.926606, 0.94662, 0.953749, 0.944659, 0.953734, 0.944625, 0.948722, 0.931717, 0.952784, 

C4H10_14r5, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.629270318280848, 2.771234352531813, 2.129921130828537, 1.911591052042458, 0.0005456378847476978, 0.002447371339141174, 0.04927385007047446, 0.002809156543878928, 0.000115705475202792, 0.001753090857044314, 0.001963381818058085, 0.001743066373310987, 0.002786391484174651, 0.0003133293988453361, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 29.000000, 26.500000, 27.500000, 28.500000, 28.500000, 28.000000, 29.000000, 28.500000, 26.500000, 
Density Sum, 8.505767834928537
X Velocity[A/fs], -0.133963, -0.0900055, 0.0948183, 0.136556, -0.204825, -0.518472, -0.915874, -0.169039, -0.521683, 0.52178, 0.177848, 0.370482, 0.376643, 0.926479,  
Y Velocity[A/fs],-0.116654, 0.117711, 0.125915, -0.110462, -0.888731, -0.184226, -0.084043, 0.189447, 0.773659, 0.778811, 0.173463, -0.762002, -0.216348, -0.0386151,  
Z Velocity[A/fs],0.0708381, -0.114981, 0.12282, -0.078641, -0.24658, 0.762637, -0.209999, -0.926221, 0.151492, -0.188725, 0.922145, 0.383628, -0.842252, 0.0825998,  
Speed[A/fs],0.191239, 0.187557, 0.199825, 0.192441, 0.944774, 0.940409, 0.943392, 0.96039, 0.945332, 0.956252, 0.955024, 0.930094, 0.947657, 0.930955, 
