r_seed=1,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.106837,  -0.061560,   0.056097,   0.104034,  -0.197992,  -0.439921,  -0.954303,  -0.155015,  -0.521314,   0.510170,   0.173259,   0.229291,   0.494926,   0.952858,  
Y Velocity[A/fs],  -0.068109,   0.091119,   0.075221,  -0.067719,  -0.920423,  -0.215895,  -0.098221,   0.272495,   0.870664,   0.877376,   0.260017,  -0.937948,  -0.176954,  -0.077455, 
Z Velocity[A/fs],   0.025582,  -0.070916,   0.076841,  -0.034335,  -0.265569,   0.861614,  -0.280215,  -0.975433,   0.073780,  -0.109902,   0.971380,   0.255248,  -0.844269,   0.298948,  
Speed[A/fs],   0.129257,   0.130849,   0.121283,   0.128794,   0.978215,   0.991221,   0.999431,   1.024574,   1.017481,   1.020853,   1.020395,   0.998735,   0.994512,   1.001653,  
 
r_seed=2,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.110336,  -0.057870,   0.060391,   0.092499,  -0.193985,  -0.461791,  -0.959103,  -0.141093,  -0.531171,   0.515425,   0.187143,   0.263390,   0.509312,   0.956471,  
Y Velocity[A/fs],  -0.069047,   0.082107,   0.087129,  -0.083879,  -0.939303,  -0.218548,  -0.105815,   0.243718,   0.853353,   0.867617,   0.259301,  -0.935074,  -0.203627,  -0.068951, 
Z Velocity[A/fs],   0.020057,  -0.077967,   0.066212,  -0.010602,  -0.221720,   0.862280,  -0.242881,  -0.982169,   0.119667,  -0.120731,   0.964507,   0.245066,  -0.831975,   0.291031,  
Speed[A/fs],   0.131696,   0.127159,   0.124990,   0.125316,   0.984418,   1.002268,   0.995021,   1.021745,   1.012262,   1.016364,   1.016136,   1.001895,   0.996516,   1.002143,  
 
r_seed=3,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.112047,  -0.057989,   0.068031,   0.104429,  -0.194043,  -0.492063,  -0.943238,  -0.158180,  -0.547510,   0.532749,   0.152342,   0.193281,   0.496158,   0.954588,  
Y Velocity[A/fs],  -0.066559,   0.082515,   0.085220,  -0.077804,  -0.914939,  -0.224686,  -0.083603,   0.239899,   0.854241,   0.866528,   0.255606,  -0.916760,  -0.172411,  -0.066571, 
Z Velocity[A/fs],   0.027711,  -0.062720,   0.063075,  -0.021982,  -0.313679,   0.852300,  -0.288050,  -0.977503,   0.088236,  -0.056218,   0.971000,   0.322588,  -0.853017,   0.277953,  
Speed[A/fs],   0.133239,   0.118765,   0.125973,   0.132068,   0.986489,   1.009468,   0.989778,   1.018864,   1.018470,   1.018750,   1.015571,   0.990894,   1.001767,   0.996457,  
 
r_seed=4,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
X Velocity[A/fs],  -0.111558,  -0.063216,   0.064645,   0.104099,  -0.185523,  -0.448681,  -0.949743,  -0.160808,  -0.472898,   0.508095,   0.166371,   0.243028,   0.454458,   0.957309,  
Y Velocity[A/fs],  -0.070906,   0.070426,   0.086469,  -0.077435,  -0.941732,  -0.160188,  -0.141292,   0.243896,   0.895887,   0.874323,   0.239346,  -0.921583,  -0.176963,  -0.030124, 
Z Velocity[A/fs],   0.031252,  -0.074229,   0.053206,  -0.030056,  -0.253906,   0.866561,  -0.264289,  -0.981576,   0.086036,  -0.136567,   0.970665,   0.295184,  -0.874270,   0.271681,  
Speed[A/fs],   0.135829,   0.120275,   0.120361,   0.133177,   0.992848,   0.988890,   0.995904,   1.024127,   1.016685,   1.020418,   1.013487,   0.997753,   1.001097,   0.995569,  
 
r_seed=5,   C,   C,   C,   C,   H,   H,   H,   H,   H,   H,   H,   H,   H,   H,  
Charges,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,   14.0000000000, 
