Trajectory file: data\c2h2_quantum\trajectory_r1.xyz
time: 0.0     speed: 0.029473608040219937
time: 0.5     speed: 0.029059273339958593
time: 1.0     speed: 0.028748984924320885
time: 1.5     speed: 0.0286639263941073
time: 2.0     speed: 0.028874518178024618
time: 2.5     speed: 0.02935232809580524
time: 3.0     speed: 0.03000578363857603
time: 3.5     speed: 0.0306750504398517
time: 4.0     speed: 0.03115408458391788
time: 4.5     speed: 0.031229341323024074
time: 5.0     speed: 0.03080071241241192
time: 5.5     speed: 0.029961838794516037
time: 6.0     speed: 0.02884199539778333
time: 6.5     speed: 0.027465215203860863
time: 7.0     speed: 0.02580280567600979
time: 7.5     speed: 0.02409953220623165
time: 8.0     speed: 0.022819019266493816
time: 8.5     speed: 0.02199807461198981
time: 9.0     speed: 0.021359675958388488
time: 9.5     speed: 0.020577822425911156
time: 10.0     speed: 0.02024881828618306
time: 10.5     speed: 0.020466775328151575
time: 11.0     speed: 0.019084687492090524
time: 11.5     speed: 0.01789614985713984
time: 12.0     speed: 0.016064379945838668
time: 12.5     speed: 0.01657722024912076
time: 13.0     speed: 0.026246978992796793
time: 13.5     speed: 0.02862512933452342
time: 14.0     speed: 0.025257238451856744
time: 14.5     speed: 0.024783504880002697
time: 15.0     speed: 0.03514949186923782
time: 15.5     speed: 0.08340335236483212
time: 16.0     speed: 0.12525124142496608
time: 16.5     speed: 0.12052445603898979
time: 17.0     speed: 0.11213386151096343
time: 17.5     speed: 0.12596939269915924
time: 18.0     speed: 0.21333012131646334
time: 18.5     speed: 0.3227922147550583
time: 19.0     speed: 0.355295825739497
time: 19.5     speed: 0.3441693660938201
time: 20.0     speed: 0.35139137751291477
time: 20.5     speed: 0.4194950765695719
time: 21.0     speed: 0.5211938403414532
time: 21.5     speed: 0.5748243379222883
time: 22.0     speed: 0.5587809414000786
time: 22.5     speed: 0.5341992976207297
time: 23.0     speed: 0.5595381765045665
time: 23.5     speed: 0.6245976009719442
time: 24.0     speed: 0.6709577722165495
time: 24.5     speed: 0.6676186063884842
time: 25.0     speed: 0.643323135905576
time: 25.5     speed: 0.643489506384833
time: 26.0     speed: 0.6751755840940386
time: 26.5     speed: 0.7073757817823758
time: 27.0     speed: 0.7144320913758188
time: 27.5     speed: 0.7036353628964285
time: 28.0     speed: 0.6989839925190944
time: 28.5     speed: 0.7103788101566503
time: 29.0     speed: 0.7271404570835331
time: 29.5     speed: 0.7354701510789543
time: 30.0     speed: 0.7344584312436525
time: 30.5     speed: 0.7329613437881913
time: 31.0     speed: 0.7369663153495444
time: 31.5     speed: 0.7442712345766451
time: 32.0     speed: 0.7497730341911669
time: 32.5     speed: 0.7518883352843467
time: 33.0     speed: 0.7528806282398806
time: 33.5     speed: 0.7550307052420461
time: 34.0     speed: 0.7583285711433851
time: 34.5     speed: 0.7614512831344254
time: 35.0     speed: 0.7636802605911254
time: 35.5     speed: 0.7653709368319198
time: 36.0     speed: 0.767123299948818
time: 36.5     speed: 0.7690814441108443
time: 37.0     speed: 0.771017050060834
time: 37.5     speed: 0.7727416377947516
time: 38.0     speed: 0.7742790879035248
time: 38.5     speed: 0.7757418031461327
time: 39.0     speed: 0.7771816260206588
time: 39.5     speed: 0.7785767357962321
time: 40.0     speed: 0.779897090341418
time: 40.5     speed: 0.7811415058912228
time: 41.0     speed: 0.7823273950830796
time: 41.5     speed: 0.7834662482011161
time: 42.0     speed: 0.7845602022887312
time: 42.5     speed: 0.7856087896268974
time: 43.0     speed: 0.7866124949292577
time: 43.5     speed: 0.7875749332198702
time: 44.0     speed: 0.788499357449598
time: 44.5     speed: 0.7893890032232398
time: 45.0     speed: 0.7902447307060156
time: 45.5     speed: 0.7910679594577792
time: 46.0     speed: 0.7918611368217996
time: 46.5     speed: 0.7926257168626113
time: 47.0     speed: 0.7933633107916938
time: 47.5     speed: 0.7940751410392487
time: 48.0     speed: 0.7947622577404762
time: 48.5     speed: 0.7954266792732033
time: 49.0     speed: 0.7960688353594477
time: 49.5     speed: 0.796689928333747
time: 50.0     speed: 0.797291006354297
time: 50.5     speed: 0.7978730818310641
time: 51.0     speed: 0.7984371699184777
time: 51.5     speed: 0.798983683947382
time: 52.0     speed: 0.7995136547224796
time: 52.5     speed: 0.8000278942994734
time: 53.0     speed: 0.8005270158883769
time: 53.5     speed: 0.8010114355710104
time: 54.0     speed: 0.8014821600613269
time: 54.5     speed: 0.8019396183489946
time: 55.0     speed: 0.8023842026953646
time: 55.5     speed: 0.8028165364750043
time: 56.0     speed: 0.8032372304290188
time: 56.5     speed: 0.8036464945899917
time: 57.0     speed: 0.8040451305803635
time: 57.5     speed: 0.804433159270642
time: 58.0     speed: 0.8048111854299336
time: 58.5     speed: 0.8051796127184517
time: 59.0     speed: 0.8055388502874887
time: 59.5     speed: 0.8058891041894564
time: 60.0     speed: 0.8062305961353384
time: 60.5     speed: 0.8065637124091484
time: 61.0     speed: 0.8068892638332619
time: 61.5     speed: 0.8072066685064349
time: 62.0     speed: 0.8075167228303064
time: 62.5     speed: 0.8078194327778575
time: 63.0     speed: 0.8081155987318469
time: 63.5     speed: 0.8084046368029563
time: 64.0     speed: 0.8086875405144522
time: 64.5     speed: 0.8089637267329784
time: 65.0     speed: 0.8092339846453467
time: 65.5     speed: 0.8094985354853294
time: 66.0     speed: 0.8097575644245582
time: 66.5     speed: 0.8100106939054253
time: 67.0     speed: 0.8102587163419668
time: 67.5     speed: 0.8105018385436531
time: 68.0     speed: 0.810740068477354
time: 68.5     speed: 0.8109736042311319
time: 69.0     speed: 0.8112028654017638
time: 69.5     speed: 0.8114280456100901
time: 70.0     speed: 0.8116497536062975
time: 70.5     speed: 0.8118682071282606
time: 71.0     speed: 0.8120840181569005
time: 71.5     speed: 0.8122973959793583
time: 72.0     speed: 0.8125099557812946
time: 72.5     speed: 0.812721529301704
time: 73.0     speed: 0.8129333265576412
time: 73.5     speed: 0.8131467643764193
time: 74.0     speed: 0.8133620769232004
time: 74.5     speed: 0.8135804866538627
time: 75.0     speed: 0.8138027947018133
time: 75.5     speed: 0.8140294340776022
time: 76.0     speed: 0.8142613905943464
time: 76.5     speed: 0.8144980783920176
time: 77.0     speed: 0.814739684629642
time: 77.5     speed: 0.8149855923759184
time: 78.0     speed: 0.8152353787987163
time: 78.5     speed: 0.8154882253763517
time: 79.0     speed: 0.8157428932280456
time: 79.5     speed: 0.8159985807428023
