Trajectory file: data\c2h2_semi_classical\trajectory_r1.xyz
time: 0.0     speed: 0.029473608040219937
time: 0.5     speed: 0.029059273339958593
time: 1.0     speed: 0.028748984924320885
time: 1.5     speed: 0.0286639263941073
time: 2.0     speed: 0.028874518178024618
time: 2.5     speed: 0.02935232809580524
time: 3.0     speed: 0.03000578363857603
time: 3.5     speed: 0.0306750504398517
time: 4.0     speed: 0.03115408458391788
time: 4.5     speed: 0.031229341323024074
time: 5.0     speed: 0.03080071241241192
time: 5.5     speed: 0.029961838794516037
time: 6.0     speed: 0.02884199539778333
time: 6.5     speed: 0.027465215203860863
time: 7.0     speed: 0.02580280567600979
time: 7.5     speed: 0.02409953220623165
time: 8.0     speed: 0.022819019266493816
time: 8.5     speed: 0.02199807461198981
time: 9.0     speed: 0.021359675958388488
time: 9.5     speed: 0.020577822425911156
time: 10.0     speed: 0.02024881828618306
time: 10.5     speed: 0.020466775328151575
time: 11.0     speed: 0.019084687492090524
time: 11.5     speed: 0.01789614985713984
time: 12.0     speed: 0.016064379945838668
time: 12.5     speed: 0.01657722024912076
time: 13.0     speed: 0.026246978992796793
time: 13.5     speed: 0.02862512933452342
time: 14.0     speed: 0.025257238451856744
time: 14.5     speed: 0.024783504880002697
time: 15.0     speed: 0.03514949186923782
time: 15.5     speed: 0.08340335236483212
time: 16.0     speed: 0.12525124142496608
time: 16.5     speed: 0.12052445603898979
time: 17.0     speed: 0.11213386151096343
time: 17.5     speed: 0.12596939269915924
time: 18.0     speed: 0.21333012131646334
time: 18.5     speed: 0.3227922147550583
time: 19.0     speed: 0.355295825739497
time: 19.5     speed: 0.3441693660938201
time: 20.0     speed: 0.35139137751291477
time: 20.5     speed: 0.4194950765695719
time: 21.0     speed: 0.5211938403414532
time: 21.5     speed: 0.5748243379222883
time: 22.0     speed: 0.5587809414000786
time: 22.5     speed: 0.5341992976207297
time: 23.0     speed: 0.5595381765045665
time: 23.5     speed: 0.6245976009719442
time: 24.0     speed: 0.6709577722165495
time: 24.5     speed: 0.6676186063884842
time: 25.0     speed: 0.6492951985888404
time: 25.5     speed: 0.6603304873125738
time: 26.0     speed: 0.670157956809795
time: 26.5     speed: 0.6789546468245776
time: 27.0     speed: 0.6868663005344651
time: 27.5     speed: 0.694013663346104
time: 28.0     speed: 0.7004973628718266
time: 28.5     speed: 0.7064017333341734
time: 29.0     speed: 0.7117979705612438
time: 29.5     speed: 0.7167464117998772
time: 30.0     speed: 0.7212985963783862
time: 30.5     speed: 0.72549851634534
time: 31.0     speed: 0.7293842425862754
time: 31.5     speed: 0.7329886194207259
time: 32.0     speed: 0.7363400751162125
time: 32.5     speed: 0.7394636906460577
time: 33.0     speed: 0.7423812614869043
time: 33.5     speed: 0.7451119735496622
time: 34.0     speed: 0.7476725573336989
time: 34.5     speed: 0.7500781188825304
time: 35.0     speed: 0.7523421159495697
time: 35.5     speed: 0.7544759956131627
time: 36.0     speed: 0.756491155731623
time: 36.5     speed: 0.7583960082874498
time: 37.0     speed: 0.7601999106434486
time: 37.5     speed: 0.7619104238953698
time: 38.0     speed: 0.7635340956119867
time: 38.5     speed: 0.7650774483422782
time: 39.0     speed: 0.766546395935491
time: 39.5     speed: 0.7679456510799098
time: 40.0     speed: 0.769280312850268
time: 40.5     speed: 0.7705546551633938
time: 41.0     speed: 0.7717721834955127
time: 41.5     speed: 0.7729371525236414
time: 42.0     speed: 0.7740524418155182
time: 42.5     speed: 0.7751213117693323
time: 43.0     speed: 0.7761464252260504
time: 43.5     speed: 0.777130232347614
time: 44.0     speed: 0.7780753848453874
time: 44.5     speed: 0.7789841247543094
time: 45.0     speed: 0.7798581112841559
time: 45.5     speed: 0.7806999616631747
time: 46.0     speed: 0.7815105350362657
time: 46.5     speed: 0.782292047577404
time: 47.0     speed: 0.7830459524182432
time: 47.5     speed: 0.7837734666434499
time: 48.0     speed: 0.7844764119641682
time: 48.5     speed: 0.7851552366205192
time: 49.0     speed: 0.7858119450669826
time: 49.5     speed: 0.786446973131793
time: 50.0     speed: 0.7870617412037487
time: 50.5     speed: 0.7876568686253085
time: 51.0     speed: 0.7882335724876691
time: 51.5     speed: 0.7887924718574673
time: 52.0     speed: 0.789334786634098
time: 52.5     speed: 0.7898603378697866
time: 53.0     speed: 0.7903709304995401
time: 53.5     speed: 0.7908665800242413
time: 54.0     speed: 0.7913481095899376
time: 54.5     speed: 0.7918157321726891
time: 55.0     speed: 0.7922706475875859
time: 55.5     speed: 0.7927130751353844
time: 56.0     speed: 0.7931434280693755
time: 56.5     speed: 0.7935621206314732
time: 57.0     speed: 0.7939701437150615
time: 57.5     speed: 0.794367133651571
time: 58.0     speed: 0.7947540780307503
time: 58.5     speed: 0.7951311989740475
time: 59.0     speed: 0.7954986967466917
time: 59.5     speed: 0.7958571817917076
time: 60.0     speed: 0.7962070592157827
time: 60.5     speed: 0.7965481468055359
time: 61.0     speed: 0.7968810397504216
time: 61.5     speed: 0.7972063406182224
time: 62.0     speed: 0.7975238725428438
time: 62.5     speed: 0.7978340266411597
time: 63.0     speed: 0.7981370189323087
time: 63.5     speed: 0.7984332458754677
time: 64.0     speed: 0.7987229176524234
time: 64.5     speed: 0.7990060342583425
time: 65.0     speed: 0.7992830140258178
time: 65.5     speed: 0.7995538449937571
time: 66.0     speed: 0.7998191363407332
time: 66.5     speed: 0.8000785030664713
time: 67.0     speed: 0.8003327278901182
time: 67.5     speed: 0.8005814390395157
time: 68.0     speed: 0.800824830168614
time: 68.5     speed: 0.8010636885657865
time: 69.0     speed: 0.8012976432362828
time: 69.5     speed: 0.8015266888312331
time: 70.0     speed: 0.8017512230726811
time: 70.5     speed: 0.8019716449484918
time: 71.0     speed: 0.8021873786282652
time: 71.5     speed: 0.8023993997001828
time: 72.0     speed: 0.802606933335461
time: 72.5     speed: 0.8028109698971164
time: 73.0     speed: 0.8030109134328816
time: 73.5     speed: 0.8032071736283622
time: 74.0     speed: 0.8033997405564685
time: 74.5     speed: 0.8035890305194108
time: 75.0     speed: 0.8037748287455901
time: 75.5     speed: 0.8039571571265439
time: 76.0     speed: 0.8041366009073481
time: 76.5     speed: 0.8043123728106713
time: 77.0     speed: 0.8044854674896819
time: 77.5     speed: 0.8046554928517682
time: 78.0     speed: 0.8048224448133352
time: 78.5     speed: 0.8049869284713039
time: 79.0     speed: 0.8051481532441501
time: 79.5     speed: 0.8053069030915017
